business_id,name,address,city,state,postal_code,latitude,longitude,phone_number

8807B262-D480-4706-A88C-52A20CF47DAF,Amica At - Swan Lake,6360 16th Avenue,Markham ,ON, L3P 7Y6,43.895352762916097,-79.252366603962201,19052016058

1737E3A2-69C7-43EC-AA1B-6431111B36B2,Angela's Deli,14 - 1470 Centre Street,Vaughan ,ON, L4J 3N1,43.806550953229397,-79.474013355624294,19054820165

2BB18719-9322-488C-B34D-12BA867344C1,Angus Glen Golf Course,10080 Kennedy Road,Markham ,ON, L6C 1N9,43.899231111421699,-79.321425190454406,19058870090

94657C8C-B6B6-43E3-BADE-0FCD010A7703,Asian Halal Meat,19 - 5694 Highway 7 E,Markham ,ON, L3P 1B4,43.871830798440797,-79.269490946312104,19059102218

43932877-74B9-461E-A891-2767473B0EF1,Aurora Community Centre,1 Community Centre Lane,Aurora ,ON, L4G 6J1,44.004358111429397,-79.471733008797599,19057271375

409E639B-083D-43E3-A3C4-25BFF745B3F4,Ballantrae Golf & Country Club,1 The Master's S,Whitchurch-Stouffville ,ON, L4A 1M2,44.047579143643297,-79.289087437784403,19056406333

7558E10A-7F9C-4F86-8381-967D7D3E3FEB,Bayview Golf & Country Club,25 Fairway Heights Drive,Markham ,ON, L3T 3X1,43.816268354645601,-79.377897693285504,19058894833

2D83F43B-D39C-42B9-940A-216865AA6508,Bellvue Manor,8083 Jane Street,Vaughan ,ON, L4K 2M7,43.802756336005700,-79.525053904047496,19057617288

4624F7CB-F3ED-421F-BBF4-90CBB7629042,Bismillah Groceries & Meat,4 - 10288 Yonge Street,Richmond Hill ,ON, L4C 3B8,43.878183737029303,-79.439607076575797,19057702856

964A8509-EF8F-4835-A63F-2E7369581DBA,Blue Door Shelter,18838 Highway 11,East Gwillimbury ,ON, L9N 0C5,44.086591266509302,-79.497135132714305,19058981015

D5B66A45-2E15-412A-A939-615E28CA220E,Camp Robin Hood,10243 Reesor Road,Markham ,ON, L6B 1A8,43.924929721432001,-79.219762422252700,19057364443

0CB99D21-DF26-45AA-9775-B223D0E57D88,Casa Tienda Foods,6 - 80 Glen Shields Avenue,Vaughan ,ON, L4K 1T7,43.792004268428798,-79.477757337383906,19057618363

648D1ADF-3385-492A-8AA3-7ABECA140155,Cashew & Clive Catering,10365 Islington Avenue,Kleinburg ,ON, L0J 1C0,43.843481680247500,-79.616695199042795,19053262969

25E8901B-8784-4D65-9AF7-23A86FFCEE0D,Cedarvale Lodge Retirement & Care Community,121 Morton Avenue,Georgina ,ON, L4P 2M5,44.232848344072302,-79.456843019553801,19054762656

FF86F7E1-4BBA-41DC-9956-658AEE5663CC,Chartwell Aurora,32 Mill Street,Aurora ,ON, L4G 2R9,43.997701192048297,-79.471629375926398,19057271939

EF1A15B0-6521-423B-80BF-C0460E2408D6,Compass Group Canada - Ibm,8200 Warden Avenue,Markham ,ON, L6G 1C7,43.848788071246801,-79.339089671923702,19054134673

42BDA616-56A0-4B7A-A360-367F3A1AEF37,Compass Group Canada - Southlake Regional Health Centre,596 Davis Drive,Newmarket ,ON, L3Y 2P9,44.060450665413001,-79.451620460034604,19058954521

5980CBC7-439E-4ECD-BDB9-04DA157451A1,Copper Creek Golf Club,11191 Highway 27,Vaughan ,ON, L0J 1C0,43.860738862753202,-79.636968193806894,19058933370

DE03460E-5A2D-4280-B5EB-2899501ACBC2,Cor Pak,12 - 7685 Jane Street,Vaughan ,ON, L4K 1A8,43.792750274704503,-79.523250686832895,19056695970

2D1E3271-4DFE-4F16-9646-2DA7F351CCCB,Costco Wholesale,71 Colossus Drive,Vaughan ,ON, L4K 9J8,43.785813679216503,-79.542072571898302,19052648337

E71C94C7-ED2B-483B-BF95-1FA25C6C5F6E,The Country Club  ,20 Lloyd Street,Vaughan ,ON, L4L 2B9,43.793094549063603,-79.590200576044296,19058564317

497DC575-27FF-406E-A10E-A061447DCE96,Country Style,22766 Woodbine Avenue,Georgina ,ON, L4P 3C8,44.199092712274499,-79.440335510961404,19054784474

9CEE796F-7DCC-49E1-BC30-BBC5BB701759,Dani Centre,501 Clark Avenue W,Vaughan ,ON, L4J 4E5,43.803857001436597,-79.439802658777296,19058893264

4BB83AC7-9CE6-4E42-9ACB-463411832B63,Daryani Fine Bakery,10670 Yonge Street,Richmond Hill ,ON, L4C 3C9,43.887505280288103,-79.441795566012701,19052375046

268BA4E1-54E2-43D2-88DF-810FE7FC49A0,Desserts Plus,6-8 - 8611 Weston Road,Vaughan ,ON, L4L 1H6,43.810895727463198,-79.551723092471207,19058565194

E7BBE0B7-856B-4EB9-B936-35B20B8289A6,Eagles Nest Golf Club Inc.,10000 Dufferin Street,Vaughan  ,ON, L6A 1S3,43.864378608548499,-79.491355421556605,19054172300

4806DF60-71C2-4738-8467-D4D0CA60AB57,Emerald Hills Golf,14001 Warden Avenue,Whitchurch-Stouffville ,ON, L4A 7X5,43.994303944456703,-79.356936170572098,19058881100

