business_id,result,date,description,type,score

799A9409-02DF-42CD-A0EE-01610720A57C,PASS,20160225,Snack Bar / Refreshment Stand: Satisfactory - No Immediate Action Required by PHI,Routine,100

799A9409-02DF-42CD-A0EE-01610720A57C,PASS,20150126,Snack Bar / Refreshment Stand: Satisfactory - No Immediate Action Required by PHI,Routine,100

CF1F7E70-40A0-48FC-8849-0356B645DCAD,PASS,20160202,Banquet Hall: Satisfactory - No Immediate Action Required by PHI,Routine,100

5980CBC7-439E-4ECD-BDB9-04DA157451A1,PASS,20160401,"Restaurant: Satisfactory - No Immediate Action Required by PHI, Food Handler Education on Site",Routine,100

5980CBC7-439E-4ECD-BDB9-04DA157451A1,PASS,20150730,Restaurant: Satisfactory - No Immediate Action Required by PHI,Routine,100

5980CBC7-439E-4ECD-BDB9-04DA157451A1,PASS,20150417,Restaurant: Satisfactory - No Immediate Action Required by PHI,Routine,100

5980CBC7-439E-4ECD-BDB9-04DA157451A1,PASS,20140812,Restaurant: Food Handler Education on Site,Routine,100

E71C94C7-ED2B-483B-BF95-1FA25C6C5F6E,PASS,20160408,Restaurant: Food Handler Education on Site,Routine,100

E71C94C7-ED2B-483B-BF95-1FA25C6C5F6E,PASS,20160408,Restaurant: Food Handler Education on Site,Routine,100

E71C94C7-ED2B-483B-BF95-1FA25C6C5F6E,PASS,20151125,Restaurant: Food Handler Education on Site,Routine,100

E71C94C7-ED2B-483B-BF95-1FA25C6C5F6E,PASS,20150813,Restaurant: Food Handler Education on Site,Routine,100

E71C94C7-ED2B-483B-BF95-1FA25C6C5F6E,PASS,20150414,Restaurant: Satisfactory - No Immediate Action Required by PHI,Routine,100

E71C94C7-ED2B-483B-BF95-1FA25C6C5F6E,PASS,20140725,Restaurant: Food Handler Education on Site,Routine,100

9E37A1EB-E373-40E7-9350-1DF372E1687E,PASS,20160202,Supermarket: Satisfactory - No Immediate Action Required by PHI,Routine,100

9E37A1EB-E373-40E7-9350-1DF372E1687E,PASS,20151016,Supermarket: Satisfactory - No Immediate Action Required by PHI,Routine,100

9E37A1EB-E373-40E7-9350-1DF372E1687E,PASS,20150220,"Supermarket: Satisfactory - No Immediate Action Required by PHI, Food Handler Education on Site",Routine,100

9E37A1EB-E373-40E7-9350-1DF372E1687E,PASS,20141202,Supermarket: Satisfactory - No Immediate Action Required by PHI,Routine,100

4858BD67-84CD-4ECB-95E3-244ECE21A196,PASS,20160302,"Supermarket: Satisfactory - No Immediate Action Required by PHI, Food Handler Education on Site",Routine,100

4858BD67-84CD-4ECB-95E3-244ECE21A196,PASS,20151113,Supermarket: Satisfactory - No Immediate Action Required by PHI,Routine,100

4858BD67-84CD-4ECB-95E3-244ECE21A196,PASS,20150717,"Supermarket: Food Handler Education on Site, Ticket Served - Part 1",followup,100

4858BD67-84CD-4ECB-95E3-244ECE21A196,PASS,20150714,"Supermarket: Food Handler Education on Site, Product Seized & Destroyed",Routine,100

4858BD67-84CD-4ECB-95E3-244ECE21A196,PASS,20150410,Supermarket: Satisfactory - No Immediate Action Required by PHI,followup,100

4858BD67-84CD-4ECB-95E3-244ECE21A196,PASS,20150408,Supermarket: Food Handler Education on Site,Routine,100

4858BD67-84CD-4ECB-95E3-244ECE21A196,PASS,20140604,Supermarket: Satisfactory - No Immediate Action Required by PHI,Routine,100

43932877-74B9-461E-A891-2767473B0EF1,PASS,20150924,Snack Bar / Refreshment Stand: Food Handler Education on Site,Routine,100

43932877-74B9-461E-A891-2767473B0EF1,PASS,20141010,Snack Bar / Refreshment Stand: Food Handler Education on Site,Routine,100

41111915-CD3F-4D51-8B5B-0F3D620CFA38,PASS,20160108,Food Take Out: Satisfactory - No Immediate Action Required by PHI,Routine,100

41111915-CD3F-4D51-8B5B-0F3D620CFA38,PASS,20150831,Food Take Out: Food Handler Education on Site,Routine,100

41111915-CD3F-4D51-8B5B-0F3D620CFA38,PASS,20150115,Food Take Out: Satisfactory - No Immediate Action Required by PHI,Routine,100

41111915-CD3F-4D51-8B5B-0F3D620CFA38,PASS,20140911,Food Take Out: Satisfactory - No Immediate Action Required by PHI,Routine,100

4D8A9D2B-0646-488F-B465-110E577F4143,PASS,20151204,Cafeteria: Food Handler Education on Site,Routine,100

4D8A9D2B-0646-488F-B465-110E577F4143,PASS,20150624,Cafeteria: Satisfactory - No Immediate Action Required by PHI,Routine,100

4D8A9D2B-0646-488F-B465-110E577F4143,PASS,20141118,Cafeteria: Satisfactory - No Immediate Action Required by PHI,Routine,100

4BB83AC7-9CE6-4E42-9ACB-463411832B63,PASS,20160316,Butcher Shop: Satisfactory - No Immediate Action Required by PHI,Routine,100

4BB83AC7-9CE6-4E42-9ACB-463411832B63,PASS,20151201,Butcher Shop: Satisfactory - No Immediate Action Required by PHI,Routine,100

4BB83AC7-9CE6-4E42-9ACB-463411832B63,PASS,20150302,Butcher Shop: Satisfactory - No Immediate Action Required by PHI,Routine,100

4DAF23F3-5EFA-4157-802C-09EF2A3E39AD,PASS,20151203,Snack Bar / Refreshment Stand: Satisfactory - No Immediate Action Required by PHI,Routine,100

4DAF23F3-5EFA-4157-802C-09EF2A3E39AD,PASS,20141022,Snack Bar / Refreshment Stand: Satisfactory - No Immediate Action Required by PHI,Routine,100

4E161B76-51E3-4DB3-B0EF-0FF3CFA4BACD,PASS,20160412,"Restaurant: Satisfactory - No Immediate Action Required by PHI, Food Handler Education on Site",Routine,100

4E161B76-51E3-4DB3-B0EF-0FF3CFA4BACD,PASS,20151127,Restaurant: Food Handler Education on Site,Routine,100

4E161B76-51E3-4DB3-B0EF-0FF3CFA4BACD,PASS,20150812,Restaurant: Satisfactory - No Immediate Action Required by PHI,Routine,100

4E161B76-51E3-4DB3-B0EF-0FF3CFA4BACD,PASS,20150310,Restaurant: Satisfactory - No Immediate Action Required by PHI,Routine,100

4E161B76-51E3-4DB3-B0EF-0FF3CFA4BACD,PASS,20141127,Restaurant: Satisfactory - No Immediate Action Required by PHI,Routine,100

7DF8FBF1-C1AF-4B38-9CCA-058972A9E7E6,PASS,20160420,"Snack Bar / Refreshment Stand: Satisfactory - No Immediate Action Required by PHI, Food Handler Education on Site",Routine,100

7DF8FBF1-C1AF-4B38-9CCA-058972A9E7E6,PASS,20151118,Snack Bar / Refreshment Stand: Satisfactory - No Immediate Action Required by PHI,Routine,100

7DF8FBF1-C1AF-4B38-9CCA-058972A9E7E6,PASS,20150727,"Snack Bar / Refreshment Stand: Satisfactory - No Immediate Action Required by PHI, Food Handler Education on Site",Routine,100

7DF8FBF1-C1AF-4B38-9CCA-058972A9E7E6,PASS,20150416,"Snack Bar / Refreshment Stand: Satisfactory - No Immediate Action Required by PHI, Food Handler Education on Site",Routine,100

DE03460E-5A2D-4280-B5EB-2899501ACBC2,PASS,20160229,Butcher Shop: Satisfactory - No Immediate Action Required by PHI,Routine,100

DE03460E-5A2D-4280-B5EB-2899501ACBC2,PASS,20150807,Butcher Shop: Food Handler Education on Site,Routine,100

DE03460E-5A2D-4280-B5EB-2899501ACBC2,PASS,20150119,Butcher Shop: Food Handler Education on Site,Routine,100

DE03460E-5A2D-4280-B5EB-2899501ACBC2,PASS,20140908,Butcher Shop: Satisfactory - No Immediate Action Required by PHI,Routine,100

54AC4378-3037-432E-8D16-50E1ABFB22D3,PASS,20160119,Convenience / Variety: Satisfactory - No Immediate Action Required by PHI,Routine,100

54AC4378-3037-432E-8D16-50E1ABFB22D3,PASS,20150401,Convenience / Variety: Satisfactory - No Immediate Action Required by PHI,Routine,100

41EAF181-89CD-4B0F-80A8-365AE0A3D6A4,PASS,20160310,Food Take Out: Satisfactory - No Immediate Action Required by PHI,Routine,100

41EAF181-89CD-4B0F-80A8-365AE0A3D6A4,PASS,20151102,Food Take Out: Satisfactory - No Immediate Action Required by PHI,Routine,100

41EAF181-89CD-4B0F-80A8-365AE0A3D6A4,PASS,20150330,Food Take Out: Food Handler Education on Site,Routine,100

41EAF181-89CD-4B0F-80A8-365AE0A3D6A4,PASS,20141008,Food Take Out: Satisfactory - No Immediate Action Required by PHI,Routine,100

3CFF84EB-BCFB-499E-91E5-5808FE61B5C1,PASS,20160211,"Restaurant: Satisfactory - No Immediate Action Required by PHI, Food Handler Education on Site",Routine,100

