business_id,date,code,description

F24B364F-2D34-4E76-A246-9AD2E9277907,20151110,"Sanitation, Design and Maintenance/Equipment & Utensils Sanitation/Dishwashing",Restaurant Inspection: Sanitize test reagent/ thermometer readily available for verifying dishwashing and sanitizing temperatures - Not in Compliance

5E1CD9FE-A39B-490C-9BC7-EECBFD5E9619,20150603,Food Safety/Refrigerated & Frozen Storage of Hazardous Food/Cooling,Food Plant/Production- Retail Inspection: Food is cooled from 60°C (140°F) to 20°C (68°F) within 2 hours - Corrected During Inspection

F5D79BD8-703A-434E-8E49-CF94EBF951A3,20151218,Food Safety/Protection from Adulteration & Contamination/Food Protection,"Restaurant Inspection: Food protected from potential contamination (e.g. food covered, labeled, off floor, stored on racks, sneeze guard, physical hazards, during display, during transport) - Corrected During Inspection"

720CFA77-2593-4D1F-8486-621F8E54D2A2,20150709,"Sanitation, Design and Maintenance/Equipment & Utensils Sanitation/Mechanical Dishwashing","Restaurant Inspection: Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer - Not in Compliance"

360AD29C-377B-4D87-8621-2D468C3CCC28,20160119,"Sanitation, Design and Maintenance/Equipment and Utensils/Equipment","Restaurant Inspection: Equipment, non-food contact surfaces and linen are maintained, designed, constructed, installed and accessible for cleaning - Not in Compliance"

B90F098C-32B8-45A9-A0AE-476FDA05EA1E,20160407,"Sanitation, Design and Maintenance/Equipment & Utensils Sanitation/Manual Dishwashing","Restaurant Inspection: Manual dishwashing: Wash, rinse, sanitize technique - Corrected During Inspection"

781D3790-7778-421C-AF9E-2DACEE6DF615,20151016,"Sanitation, Design and Maintenance/Equipment & Utensils Sanitation/Mechanical Dishwashing","Restaurant Inspection: Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer - Not in Compliance"

58FB67E8-7491-43E2-AB8C-C5D5B33CF81E,20150930,General Food Safety/Protection from Food Handler Contamination/Hygiene,Food Take Out Inspection: Observed operator / employee fail to confine hair while working with food* - Corrected During Inspection

