W3ALCD,Doing_Business_As,Restaurant_Address,Inspection_Date,Major_Violation_Improper_Holding_Temperature,Minor_Violation_Improper_Holding_Temperature,Major_Violation_Inadequate_Cooking,Minor_Violation_Inadequate_Cooking,Major_Violation_Personal_Hygiene,Minor_Violation_Personal_Hygiene,Major_Violation_Contaminated_Equipment,Minor_Violation_Contaminated_Equipment,Major_Violation_Unsafe_Food_Source,Minor_Violation_Unsafe_Food_Source,InDbDate
FA0000670,KIRALA 2,"1511-D SHATTUCK AVE
BERKELEY, CA
(37.879781, -122.269181)",01/07/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000300,ESPRESSO ROMA/C'EST CAF�,"2490 BANCROFT WY
BERKELEY, CA
(37.868697, -122.259321)",01/10/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001592,LITTLE GEM BELGIAN WAFFLES,"2468-A TELEGRAPH AVE
BERKELEY, CA
(37.865706, -122.258559)",11/23/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000514,INT'L SOCIETY FOR KRISHNA,"2334 STUART ST
BERKELEY, CA
(37.859388, -122.260372)",08/24/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000073,SOL Y LUNA,"1926 SHATTUCK AVE
BERKELEY, CA
(37.87335, -122.268574)",02/25/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001541,MELOMELO KAVA BAR,"1701 UNIVERSITY AVE
BERKELEY, CA
(37.871072, -122.277225)",11/18/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001557,HIGHWIRE COFFEE ROASTERS,"2049 SAN PABLO AVE
BERKELEY, CA
(37.868619, -122.291899)",03/29/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000474,HONG DU UNOCAL,"901 ASHBY AVE
BERKELEY, CA
(37.851128, -122.290812)",03/27/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001260,SUBWAY #46673,"2929 9TH ST
BERKELEY, CA
(37.851837, -122.289453)",12/19/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001295,RELISH CATERING,"2701 8TH ST
BERKELEY, CA
(37.856884, -122.291822)",05/09/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000596,BERKELEY ESPRESSO,"1900 SHATTUCK AVE
BERKELEY, CA
(37.873687, -122.268616)",09/01/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
