business_id,date,description,result,score,type

226957,20130410,,,100,routine

226957,20120703,,,,routine

226957,20120110,,,,routine

226957,20140409,,,100,routine

226957,20151210,,,,followup

226957,20151027,,,90,routine

226957,20150113,,,98,routine

226957,20160420,,,100,routine

472190,20130614,,,96,routine

472190,20120814,,,,routine

472190,20120208,,,,routine

472190,20140509,,,98,routine

472190,20151102,,,99,routine

472190,20141217,,,97,routine

472190,20141217,,,,followup

472190,20140618,,,,followup

376479,20130809,,,,routine

376479,20130709,,,,routine

376479,20120731,,,,routine

376479,20150406,,,100,routine

376479,20140718,,,,followup

376479,20140424,,,100,routine

376479,20160318,,,98,routine

376479,20160505,,,,followup

412688,20131004,,,,routine

412688,20130819,,,,followup

412688,20150905,,,98,routine

412688,20140828,,,98,routine

412688,20131120,,,,followup

84846,20130617,,,,routine

84846,20120629,,,,routine

84846,20120621,,,,routine

250966,20120112,,,,routine

250966,20110310,,,,routine

250966,20140610,,,,followup

250966,20140603,,,94,routine

250966,20150217,,,,followup

250966,20150203,,,,followup

250966,20150122,,,97,routine

250966,20160309,,,99,routine

250966,20160222,,,,followup

250966,20160217,,,,followup

223809,20130625,,,,routine

223809,20120511,,,,routine

223809,20120210,,,,routine

223809,20150320,,,100,routine

223809,20140604,,,99,routine

223809,20130625,,,96,routine

223809,20160113,,,94,routine

223809,20160122,,,,followup

223809,20160129,,,,followup

227727,20120403,,,,routine

227727,20110419,,,,routine

227727,20150408,,,100,routine

227727,20140429,,,99,routine

227727,20130507,,,100,routine

227727,20160512,,,100,routine

346148,20120227,,,,routine

346148,20110307,,,,routine

346148,20150504,,,100,routine

346148,20140424,,,100,routine

346148,20130509,,,100,routine

346148,20160512,,,100,routine

334219,20120418,,,,routine

334219,20110913,,,,routine

334219,20140918,,,100,routine

334219,20140603,,,,routine

334219,20130514,,,,routine

235099,20130613,,,,routine

235099,20120417,,,,routine

235099,20111208,,,,routine

226925,20130522,,,94,routine

226925,20120802,,,,routine

226925,20120110,,,,routine

226925,20150109,,,,followup

226925,20150106,,,99,routine

226925,20150106,,,,followup

226925,20140325,,,95,routine

226925,20160119,,,99,routine

140712,20140206,,,97,routine

140712,20120705,,,,routine

140712,20150128,,,98,routine

140712,20140206,,,,routine

140712,20130429,,,99,routine

140712,20160113,,,96,routine

459934,20130404,,,94,routine

459934,20120830,,,,routine

459934,20120821,,,,routine

166583,20140117,,,,routine

166583,20120404,,,,routine

166583,20111108,,,,routine

448978,20130610,,,99,routine

448978,20120910,,,,routine

448978,20120829,,,,routine

138819,20140207,,,98,routine

138819,20130617,,,94,routine

138819,20120910,,,,routine

138819,20151223,,,92,routine

138819,20150203,,,99,routine

138819,20141124,,,94,routine

138819,20160113,,,99,routine

138819,20160113,,,,followup

581754,20151215,,,100,routine

581754,20141217,,,98,routine

581754,20131211,,,100,routine

574758,20140319,,,100,routine

574758,20150716,,,,followup

574758,20150715,,,92,routine

574758,20150112,,,95,routine

366573,20130418,,,,followup

366573,20130412,,,95,routine

366573,20130221,,,98,routine

366573,20140910,,,98,routine

366573,20140801,,,,routine

366573,20150820,,,,routine

366573,20150616,,,,followup

366573,20150603,,,99,routine

417568,20130612,,,98,routine

417568,20120806,,,,routine

417568,20120214,,,,routine

417568,20150108,,,97,routine

417568,20141203,,,98,routine

417568,20140411,,,97,routine

417568,20160108,,,97,routine

358594,20131010,,,100,routine

358594,20130320,,,99,routine

358594,20121011,,,96,routine

358594,20141020,,,98,routine

358594,20140501,,,99,routine

358594,20151105,,,100,routine

358594,20150416,,,100,routine

358594,20141113,,,97,routine

358594,20160414,,,97,routine

460018,20120831,,,100,routine

460018,20110708,,,99,routine

460018,20151204,,,99,routine

460018,20141124,,,100,routine

460018,20131230,,,99,routine

498237,20131217,,,97,routine

498237,20121221,,,98,routine

498237,20110812,,,97,routine

498237,20141202,,,99,routine

328297,20130416,,,100,routine

328297,20121008,,,100,routine

328297,20120321,,,99,routine

597113,20141118,,,100,routine

597113,20140224,,,97,routine

138807,20130419,,,99,routine

138807,20121226,,,99,routine

138807,20150421,,,,followup

138807,20150106,,,100,routine

138807,20140207,,,100,routine

138807,20151231,,,97,routine

138807,20151231,,,,followup

138807,20160125,,,,followup

138807,20160224,,,,followup

138807,20160414,,,,followup

138807,20160428,,,,followup

78669,20130821,,,95,routine

78669,20130123,,,99,routine

78669,20120502,,,96,routine

78669,20151204,,,100,routine

78669,20150107,,,100,routine

562319,20140519,,,96,routine

562319,20141023,,,,followup

562319,20141014,,,90,routine

458850,20131031,,,100,routine

458850,20130320,,,100,routine

458850,20121030,,,96,routine

458850,20140429,,,98,routine

458850,20151021,,,98,routine

458850,20150403,,,100,routine

458850,20141016,,,100,routine

458850,20160419,,,100,routine

304894,20131113,,,97,routine

304894,20130418,,,100,routine

304894,20121204,,,96,routine

304894,20140306,,,96,routine

304894,20151008,,,100,routine

304894,20150424,,,98,routine

304894,20141014,,,96,routine

304894,20160502,,,96,routine

344581,20130711,,,,followup

344581,20130705,,,,followup

344581,20130702,,,,routine

344581,20141126,,,99,routine

452549,20121204,,,98,routine

452549,20111018,,,97,routine

452549,20151202,,,100,routine

452549,20141201,,,98,routine

452549,20131218,,,98,routine

300559,20111215,,,100,routine

300559,20151030,,,,routine

300559,20140620,,,100,routine

300559,20130305,,,100,routine

337497,20121204,,,,followup

337497,20121004,,,,followup

337497,20151211,,,95,routine

337497,20141222,,,100,routine

337497,20131231,,,100,routine

434800,20130806,,,95,routine

434800,20120911,,,98,routine

434800,20120208,,,98,routine

434800,20140529,,,97,routine

434800,20150220,,,94,routine

434800,20150303,,,,followup

