Facility Name,Activity Date,Service,Violation Description,Grade,Location
 STARBUCK   SAFEWAY #910,07/25/2013,111,"Equipment, utensils and linens: storage and use",,"1554 FIRST ST
LIVERMORE, CA 94550
(37.67930642, -121.7765857)"
 STARBUCK   SAFEWAY #910,07/25/2013,111,Wiping cloths: properly used and stored,,"1554 FIRST ST
LIVERMORE, CA 94550
(37.67930642, -121.7765857)"
 STARBUCK   SAFEWAY #910,10/22/2014,111,Adequate handwashing facilities supplied & accessi,G,"1554 FIRST ST
LIVERMORE, CA 94550
(37.67930642, -121.7765857)"
 STARBUCK   SAFEWAY #910,10/22/2014,111,Equipment/Utensils - approved installed clean g,G,"1554 FIRST ST
LIVERMORE, CA 94550
(37.67930642, -121.7765857)"
#1 ASIAN EXPRESS FOOD,01/09/2013,111,Food separated and protected,G,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,01/09/2013,111,Premises personal/cleaning items vermin-proofing,G,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,01/09/2013,111,"Proper eating, tasting, drinking or tobacco use",G,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,01/09/2013,111,Proper hot and cold holding temperatures,G,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,06/01/2012,111,Adequate handwashing facilities supplied & accessi,,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,06/01/2012,111,Hands clean and properly washed gloves used prope,,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,06/01/2012,111,Proper hot and cold holding temperatures,,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Equipment/Utensils - approved installed clean g,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Food contact surfaces: clean and sanitized,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Food storage food storage containers identified,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Plumbing proper backflow devices,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Wiping cloths: properly used and stored,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,Demonstration of knowledge food manager certifica,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,"Equipment, utensils and linens: storage and use",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,"Floors, walls and ceilings: built, maintained, and",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,Nonfood-contact surfaces clean,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,Proper hot and cold holding temperatures,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,"Warewashing facilities: installed, maintained, use",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,07/10/2014,111,"Equipment, utensils and linens: storage and use",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,07/10/2014,111,"Floors, walls and ceilings: built, maintained, and",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,10/29/2015,111,Food contact surfaces: clean and sanitized,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968557, -122.19692165)"
#1 SEAFOOD AND CHICKEN,03/18/2016,111,"No rodents, insects, birds, or animals",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968557, -122.19692165)"
