"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"

"PR0000031","MONROVIA CINEMA CONCESSION I","410 S MYRTLE AVE ","MONROVIA","CA","91016","34.1473062310","-117.9998262160",""

"PR0000206","JOSYLN SENIOR CENTER","210 N CHAPEL AVE ","ALHAMBRA","CA","91801","34.0985255114","-118.1247669704","626-960-2995"

"PR0000213","STARBUCKS COFFEE #9685","145 N CITRUS AVE ","COVINA","CA","91723","34.0873269216","-117.8904601570",""

"PR0000250","VFW POST NO. 6110","16555 SIERRA HWY ","CANYON COUNTRY","CA","91351-1338","34.4475665285","-118.4262071069",""

"PR0000273","STABUCKS @ VONS #2066","18439 VENTURA BLVD ","TARZANA","CA","91356","34.1683814142","-118.5345700102",""

"PR0000278","COCOHODO TORRANCE","2734 SEPULVEDA BLVD ","TORRANCE","CA","90505","33.8224875707","-118.3331781785","310-530-3875"

"PR0000307","KING'S BAKERY","127 N GARFIELD AVE STE J","MONTEREY PARK","CA","91754","34.0633278558","-118.1236860085",""

"PR0000332","PAPA JOHN'S 2247","5457 E SOUTH ST ","LAKEWOOD","CA","90712","33.8607327640","-118.1260191534","562-925-5856"

"PR0000335","4 SEASONS HOTEL-THE BAR","2 DOLE DR","WESTLAKE VILLAGE","CA","91362","34.1513684739","-118.8045058003",""

"PR0000347","MENCHIES CALABASAS","4776 COMMONS WAY #D","CALABASAS","CA","91302","","","818-963-2644"

"PR0000380","BENNYS 19TH HOLE SALOON","16829 PRAIRIE AVE ","LAWNDALE","CA","90260","33.8779521481","-118.3439872873",""

"PR0000462","TERRACE CINEMAS 6","28901 S WESTERN AVE ","RANCHO PALOS VERDES","CA","90275","33.7563535559","-118.3103981765","310-831-1919"

"PR0000506","TAZA","1825 W SUNSET BLVD ","LOS ANGELES","CA","90026","34.0780570128","-118.2598302806","213-568-3419"

"PR0000527","VONS-STARBUCKS #1638","4226 WOODRUFF AVE ","LAKEWOOD","CA","90713","33.8351752270","-118.1154323770",""

"PR0000572","BASKIN ROBBINS","6700 LAUREL CANYON BLVD ","NORTH HOLLYWOOD","CA","91606","34.1923196409","-118.3963143400",""

"PR0000588","COLDSTONE CREAMERY #341","28154 S WESTERN AVE ","SAN PEDRO","CA","90732","33.7634654082","-118.3112184871",""

"PR0000592","STARBUCKS COFFEE #5348","2100 S ATLANTIC BLVD ","MONTEREY PARK","CA","91754","34.0383473155","-118.1444997144",""

"PR0000608","HONEY DONUTS","1833 DALY ST # 103","LOS ANGELES","CA","90031","","","323-221-5474"

"PR0000665","VONS STARBUCKS #2001","5671 KANAN RD ","AGOURA HILLS","CA","91301","34.1533988561","-118.7575430179",""

"PR0000716","CLOVER JUICE","342 S LA BREA AVE ","LOS ANGELES","CA","90036","34.0676243787","-118.3438246083","310-775-7064"

"PR0000834","COLD STONE CREAMERY #418","1009 W ARROW HWY ","SAN DIMAS","CA","91773","34.1068035262","-117.8269187139",""

"PR0000848","ICEE MIX IT UP","111 RAGING WATERS DR ","SAN DIMAS","CA","91773-3928","34.0955625255","-117.8100137319",""

"PR0000870","LAS TORRES","11717 1/2 VICTORY BLVD","NORTH HOLLYWOOD","CA","91606","34.1868282494","-118.3883760470",""

"PR0000907","EARTH BAR EQUINOX ENCINO","16830 VENTURA BLVD # #165","ENCINO","CA","91436","","","310-717-9002"

"PR0000916","LA BLANQUITA TORTILLERIA","13810 LOS ANGELES ST ","BALDWIN PARK","CA","91706","34.0920074885","-117.9732245589",""

"PR0000945","EDIBLE ARRANGEMENTS","1265 WESTWOOD BLVD ","LOS ANGELES","CA","90024","34.0573795143","-118.4432391380",""

"PR0001052","ALL STAR PARK COMPANY","17911 S BELLFLOWER BLVD ","BELLFLOWER","CA","90706","33.8692697078","-118.1256418161",""

"PR0001067","COLD STONE CREAMERY #2324","6801 HOLLYWOOD BLVD STE #319","LOS ANGELES","CA","90028","","","323-962-3199"

"PR0001079","BAR 20-CLUBHOUSE","285 W HUNTINGTON DR ","ARCADIA","CA","91007","34.1397131452","-118.0453041705",""

"PR0001109","ST. BARNABAS SENIOR CENTER OF LA","675 S CARONDELET ST ","LOS ANGELES","CA","90057","34.0592668563","-118.2812343248","213-388-4444"

"PR0001112","COFFEE BEAN & TEA LEAF","6600 TPNG CYN BLVD UNIT 9220","CANOGA PARK","CA","91303","","",""

"PR0001154","GEEKS CAFE","6747 GREENLEAF AVE #A","WHITTIER","CA","90601","","","562-696-9393"

"PR0001205","SIERRA MADRE PARK (HEASLEY)","611 E SIERRA MADRE BLVD ","SIERRA MADRE","CA","91024","34.1645375531","-118.0399776758","626-355-5293"

"PR0001207","STARBUCK COFFEE #2989","11809 ARTESIA BLVD ","ARTESIA","CA","90701","33.8741949805","-118.0819074076",""

"PR0001209","COCO FRESH TEA & JUICE","11301 W OLYMPIC BLVD STE 105","LOS ANGELES","CA","90064","34.0381854972","-118.4418113550","626-319-5570"

"PR0001212","BOTTOM LINE","2066 W MANCHESTER AVE ","LOS ANGELES","CA","90047","33.9598016561","-118.3156364229",""

"PR0001240","BM-TRY WASHING ROOM","735 E 12TH ST # 415","LOS ANGELES","CA","90021","","","213-746-6633"

"PR0001247","CHERRY ON TOP","333 S ALAMEDA ST STE 104","LOS ANGELES","CA","90013","34.0444837876","-118.2382394163",""

"PR0001350","STARBUCKS #13222","800 W OLYMPIC BLVD STE 102","LOS ANGELES","CA","90015","34.0448376046","-118.2645272878","213-748-1009"

"PR0001391","STARBUCKS COFFEE CO","131 S BARRINGTON AVE ","LOS ANGELES","CA","90049","34.0663961570","-118.4693301964",""

"PR0001417","RAJI'S","5851 W SUNSET BLVD ","LOS ANGELES","CA","90028","34.0982144293","-118.3174693522",""

"PR0001609","ACE'S COURT #17","18400 AVALON BLVD STE 300","CARSON","CA","90746-2182","33.8660141335","-118.2647396389",""

"PR0001617","PELOTA PARK SNACK BAR","1629 HOLLY OAK ST ","LA VERNE","CA","91750","34.1091646446","-117.7762793422","909-593-1157"

"PR0001669","TARGET STORES #222 - STARBUCKS","17751 E COLIMA RD","INDUSTRY","CA","91748","33.9915624633","-117.9186440414",""

"PR0001671","TIKI TI","4427 W SUNSET BLVD ","LOS ANGELES","CA","90027","34.0974700548","-118.2857355068",""

"PR0001688","REGAL ENTERTAINMENT GROUP","1919 W VERDUGO BLVD ","LA CANADA FLINTRIDGE","CA","91011","34.2065455656","-118.2170008170",""

"PR0001711","STARBUCKS COFFEE #9456","17272 SATICOY ST ","VAN NUYS","CA","91406","34.2082853742","-118.5091910152",""

"PR0001758","CINEPLEX ODEON #417-DWNST","1441 3RD STREET PROMENADE DWNST","SANTA MONICA","CA","90401","34.0151820366","-118.4953407245",""

"PR0001814","PEET'S COFFEE AND TEA","11750 SAN VICENTE BLVD ","LOS ANGELES","CA","90049","34.0529019076","-118.4678492739",""

"PR0001815","LA TIENDA","9851 ZELZAH AVE ","NORTHRIDGE","CA","91330","34.2495219564","-118.5234843419","818-885-2902"

"PR0001921","STAND 16 & BAR 9","285 W HUNTINGTON DR ","ARCADIA","CA","91007","34.1397131452","-118.0453041705",""

"PR0001936","JUICE CRAFTERS","11682 SAN VICENTE BLVD ","LOS ANGELES","CA","90049","34.0535987533","-118.4646376034","310-900-9549"

"PR0002000","MAINGATE POPCORN","26101 MAGIC MOUNTAIN PKWY","VALENCIA","CA","91355","34.4306095027","-118.6034335649",""

"PR0002030","COFFEE BEAN&TEA LEAF-RALPHS","2675 FOOTHILL BLVD ","LA CRESCENTA","CA","91214","34.2228691574","-118.2371790057",""

"PR0002035","STARBUCKS COFFEE #518","46 PENINSULA CTR STE A","PALOS VERDES PENINSULA","CA","90274","33.7747246459","-118.3756779299",""

"PR0002040","SHOOTERS BAR AND BILLIARDS I","24450 1/2 LYONS AVE","NEWHALL","CA","91321","34.3781331891","-118.5628113932",""

