"business_id","score","date","description","type"

"PR0029094","90","20141010","","Routine"

"PR0167401","96","20151029","","Routine"

"PR0127775","92","20160311","","Routine"

"PR0012132","98","20151209","","Routine"

"PR0043938","100","20150505","","Routine"

"PR0150645","99","20150527","","Routine"

"PR0047835","90","20150619","","Routine"

"PR0038719","95","20151007","","Routine"

"PR0156453","95","20150127","","Routine"

"PR0153159","96","20151001","","Routine"

"PR0014548","98","20141023","","Routine"

"PR0013865","90","20160223","","Routine"

"PR0032530","96","20140925","","Routine"

"PR0036246","90","20150825","","Routine"

"PR0046918","87","20151203","","Routine"

"PR0006456","83","20150619","","Routine"

"PR0011526","96","20160223","","Routine"

"PR0023104","97","20141110","","Routine"

"PR0021234","91","20150311","","Routine"

"PR0033676","98","20151015","","Routine"

"PR0149442","100","20151110","","Routine"

"PR0027697","92","20140812","","Routine"

"PR0153460","96","20150923","","Routine"

"PR0127862","100","20160331","","Routine"

"PR0000248","90","20150613","","Routine"

"PR0006693","100","20160304","","Routine"

"PR0148023","93","20140826","","Routine"

"PR0123072","97","20150713","","Routine"

"PR0013911","94","20160122","","Routine"

"PR0035354","90","20140807","","Routine"

"PR0046519","93","20150909","","Routine"

"PR0164942","93","20151202","","Routine"

"PR0150385","99","20150511","","Routine"

"PR0011472","96","20151014","","Routine"

"PR0156535","92","20160209","","Routine"

"PR0028686","92","20140919","","Routine"

"PR0130661","96","20151105","","Routine"

"PR0041482","93","20151028","","Routine"

"PR0010002","93","20150803","","Routine"

"PR0035237","92","20150602","","Routine"

"PR0146483","97","20160219","","Routine"

"PR0028716","97","20150916","","Routine"

"PR0017565","94","20160325","","Routine"

"PR0019380","90","20150527","","Routine"

"PR0148635","94","20160113","","Routine"

"PR0029825","93","20150605","","Routine"

"PR0045289","95","20150227","","Routine"

"PR0032632","98","20150715","","Routine"

"PR0027589","90","20150508","","Routine"

"PR0044319","93","20150916","","Routine"

"PR0021857","96","20160413","","Routine"

"PR0043014","86","20140609","","Routine"

"PR0015499","91","20140730","","Routine"

"PR0168796","97","20160419","","Routine"

"PR0152782","95","20150929","","Routine"

"PR0012725","92","20150302","","Routine"

"PR0006224","98","20140731","","Routine"

"PR0015945","93","20150702","","Routine"

"PR0004427","96","20150915","","Routine"

"PR0024873","95","20150114","","Routine"

"PR0033444","92","20140825","","Routine"

"PR0149259","98","20141105","","Routine"

"PR0008183","90","20141208","","Routine"

"PR0010557","94","20160511","","Routine"

"PR0014019","92","20140919","","Routine"

"PR0008268","92","20150609","","Routine"

"PR0043343","95","20151005","","Routine"

"PR0037367","92","20140911","","Routine"

"PR0008351","94","20150304","","Routine"

"PR0042003","97","20150825","","Routine"

"PR0030702","94","20151106","","Routine"

"PR0012531","97","20160427","","Routine"

"PR0017537","90","20150901","","Routine"

"PR0018634","97","20150224","","Routine"

"PR0009484","95","20160217","","Routine"

"PR0030863","80","20141223","","Routine"

"PR0028623","99","20160107","","Routine"

"PR0033782","97","20151230","","Routine"

"PR0043674","90","20160419","","Routine"

"PR0047629","100","20150911","","Routine"

"PR0023620","91","20150603","","Routine"

"PR0129585","97","20140814","","Routine"

"PR0012787","93","20141014","","Routine"

"PR0045864","97","20160425","","Routine"

"PR0020461","92","20141209","","Routine"

"PR0021547","100","20160121","","Routine"

"PR0026209","100","20150313","","Routine"

"PR0147255","92","20150115","","Routine"

"PR0148428","98","20150603","","Routine"

"PR0044717","95","20160323","","Routine"

"PR0031900","96","20150619","","Routine"

"PR0021432","90","20140618","","Routine"

"PR0032176","86","20140715","","Routine"

"PR0044551","94","20150803","","Routine"

"PR0023514","90","20150629","","Routine"

"PR0005438","99","20150615","","Routine"

"PR0024183","96","20141030","","Routine"

"PR0013729","95","20150603","","Routine"

"PR0016068","98","20140819","","Routine"

"PR0167727","91","20150717","","Routine"

"PR0016126","93","20160517","","Routine"

"PR0168037","97","20151209","","Routine"

"PR0017258","91","20150720","","Routine"

"PR0169934","98","20160415","","Routine"

"PR0007712","96","20140722","","Routine"

"PR0031420","98","20140528","","Routine"

"PR0156497","93","20160112","","Routine"

"PR0153455","94","20160405","","Routine"

"PR0024019","95","20160218","","Routine"

"PR0009567","90","20160516","","Routine"

"PR0041708","85","20150527","","Routine"

"PR0005647","99","20150916","","Routine"

"PR0012838","96","20150410","","Routine"

"PR0002882","95","20160504","","Routine"

"PR0170051","98","20151006","","Routine"

"PR0149457","96","20141208","","Routine"

"PR0151061","93","20150615","","Routine"

"PR0020722","91","20150430","","Routine"

