"business_id","date","code","description"

"PR0001443","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0027385","20140522","F023","Standard Not Met: No rodents, insects, birds, or animals"

"PR0027385","20140522","F007","Standard Not Met: Proper hot and cold holding temperatures"

"PR0027385","20140522","F038","Standard Not Met: Thermometers provided and accurate"

"PR0027385","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0027385","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0027385","20140522","F039","Standard Not Met: Wiping cloths: properly used and stored"

"PR0001443","20140522","F036","Standard Not Met: Equipment, utensils and linens: storage and use"

"PR0001443","20140522","F038","Standard Not Met: Thermometers provided and accurate"

"PR0001443","20140522","F030","Standard Not Met: Food properly stored; food storage containers identified"

"PR0001443","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0001443","20140522","F043","Standard Not Met: Premises; personal/cleaning items; vermin-proofing"

"PR0001443","20140522","F042","Standard Not Met: Toilet facilities: properly constructed, supplied, cleaned"

"PR0001443","20140522","F037","Standard Not Met: Adequate ventilation and lighting; designated areas, use"

"PR0001443","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0043563","20140522","F034","Standard Not Met: Warewashing facilities: Adequate, maintained, properly use, test strips available"

"PR0043563","20140522","F036","Standard Not Met: Equipment, utensils and linens: storage and use"

"PR0027435","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0021115","20140522","F008","Standard Not Met: Time as a public health control; procedures & records"

"PR0039938","20140522","F043","Standard Not Met: Premises; personal/cleaning items; vermin-proofing"

"PR0039938","20140522","F029","Standard Not Met: Toxic substances properly identified, stored, used"

"PR0007923","20140522","F036","Standard Not Met: Equipment, utensils and linens: storage and use"

"PR0007923","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0007923","20140522","F043","Standard Not Met: Premises; personal/cleaning items; vermin-proofing"

"PR0007923","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0019589","20140522","F030","Standard Not Met: Food properly stored; food storage containers identified"

"PR0001346","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0030022","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0030022","20140522","F037","Standard Not Met: Adequate ventilation and lighting; designated areas, use"

"PR0030022","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0030022","20140522","F039","Standard Not Met: Wiping cloths: properly used and stored"

"PR0036519","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0036519","20140522","F013","Standard Not Met: Food in good condition, safe and unadulterated"

"PR0036519","20140522","F004","Standard Not Met: Proper eating, drinking, or tobacco use"

"PR0036519","20140522","F030","Standard Not Met: Food properly stored; food storage containers identified"

"PR0036519","20140522","F036","Standard Not Met: Equipment, utensils and linens: storage and use"

"PR0036519","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0036519","20140522","F043","Standard Not Met: Premises; personal/cleaning items; vermin-proofing"

"PR0002697","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0002697","20140522","F034","Standard Not Met: Warewashing facilities: Adequate, maintained, properly use, test strips available"

"PR0002697","20140522","F036","Standard Not Met: Equipment, utensils and linens: storage and use"

"PR0002697","20140522","F027","Standard Not Met: Food separated and protected"

"PR0037836","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0048122","20140522","F013","Standard Not Met: Food in good condition, safe and unadulterated"

"PR0040521","20140522","F043","Standard Not Met: Premises; personal/cleaning items; vermin-proofing"

"PR0040521","20140522","F006","Standard Not Met: Adequate handwashing facilities supplied & accessible"

"PR0040521","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0040521","20140522","F036","Standard Not Met: Equipment, utensils and linens: storage and use"

"PR0040521","20140522","F037","Standard Not Met: Adequate ventilation and lighting; designated areas, use"

"PR0040521","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0122467","20140522","F037","Standard Not Met: Adequate ventilation and lighting; designated areas, use"

"PR0122467","20140522","F052","Standard Not Met: Food safety certification"

"PR0122467","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0122467","20140522","F027","Standard Not Met: Food separated and protected"

"PR0122467","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0122467","20140522","F043","Standard Not Met: Premises; personal/cleaning items; vermin-proofing"

"PR0122467","20140522","F026","Standard Not Met: Approved thawing methods used, frozen food maintained frozen"

"PR0122467","20140522","F039","Standard Not Met: Wiping cloths: properly used and stored"

"PR0042078","20140522","F025","Standard Not Met: Personal cleanliness and hair restraints"

"PR0042078","20140522","F036","Standard Not Met: Equipment, utensils and linens: storage and use"

"PR0042078","20140522","F040","Standard Not Met: Plumbing: Plumbing in good repair, proper backflow devices"

"PR0042078","20140522","F037","Standard Not Met: Adequate ventilation and lighting; designated areas, use"

"PR0042078","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0042078","20140522","F039","Standard Not Met: Wiping cloths: properly used and stored"

"PR0006432","20140522","F032","Standard Not Met: Food properly labeled & honestly presented"

"PR0006432","20140522","F046","Standard Not Met: Signs posted; last inspection report available"

"PR0010055","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0010055","20140522","F037","Standard Not Met: Adequate ventilation and lighting; designated areas, use"

"PR0010055","20140522","F046","Standard Not Met: Signs posted; last inspection report available"

"PR0010055","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0010055","20140522","F052","Standard Not Met: Food safety certification"

"PR0036674","20140522","F034","Standard Not Met: Warewashing facilities: Adequate, maintained, properly use, test strips available"

"PR0036674","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0036674","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0036674","20140522","F040","Standard Not Met: Plumbing: Plumbing in good repair, proper backflow devices"

"PR0036674","20140522","F052","Standard Not Met: Food safety certification"

"PR0002577","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0002577","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0002577","20140522","F014","Standard Not Met: Food contact surfaces: clean and sanitized"

"PR0002577","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0002577","20140522","F040","Standard Not Met: Plumbing: Plumbing in good repair, proper backflow devices"

"PR0017598","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0017598","20140522","F034","Standard Not Met: Warewashing facilities: Adequate, maintained, properly use, test strips available"

"PR0017598","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0017598","20140522","F009","Standard Not Met: Proper cooling methods"

"PR0017598","20140522","F007","Standard Not Met: Proper hot and cold holding temperatures"

"PR0045063","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0045063","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0045063","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0045063","20140522","F040","Standard Not Met: Plumbing: Plumbing in good repair, proper backflow devices"

"PR0039121","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0039121","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0039121","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0039121","20140522","F034","Standard Not Met: Warewashing facilities: Adequate, maintained, properly use, test strips available"

"PR0039121","20140522","F037","Standard Not Met: Adequate ventilation and lighting; designated areas, use"

"PR0000307","20140522","F043","Standard Not Met: Premises; personal/cleaning items; vermin-proofing"

"PR0033495","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0033495","20140522","F007","Standard Not Met: Proper hot and cold holding temperatures"

"PR0033495","20140522","F032","Standard Not Met: Food properly labeled & honestly presented"

"PR0033495","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0000307","20140522","F001","Standard Not Met: Demonstration of knowledge"

"PR0000307","20140522","F014","Standard Not Met: Food contact surfaces: clean and sanitized"

"PR0003736","20140522","F023","Standard Not Met: No rodents, insects, birds, or animals"

"PR0003736","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0003736","20140522","F007","Standard Not Met: Proper hot and cold holding temperatures"

"PR0003736","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0002024","20140522","F001","Standard Not Met: Demonstration of knowledge"

"PR0002024","20140522","F007","Standard Not Met: Proper hot and cold holding temperatures"

"PR0002024","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0045635","20140522","F014","Standard Not Met: Food contact surfaces: clean and sanitized"

"PR0015801","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0015801","20140522","F036","Standard Not Met: Equipment, utensils and linens: storage and use"

"PR0015801","20140522","F035","Standard Not Met: Equipment/Utensils - approved; installed; clean; good repair, capacity"

"PR0015801","20140522","F043","Standard Not Met: Premises; personal/cleaning items; vermin-proofing"

"PR0015801","20140522","F023","Standard Not Met: No rodents, insects, birds, or animals"

"PR0040458","20140522","F001","Standard Not Met: Demonstration of knowledge"

"PR0040458","20140522","F036","Standard Not Met: Equipment, utensils and linens: storage and use"

"PR0040458","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0040458","20140522","F034","Standard Not Met: Warewashing facilities: Adequate, maintained, properly use, test strips available"

"PR0040458","20140522","F033","Standard Not Met: Nonfood-contact surfaces clean and in good repair"

"PR0040458","20140522","F030","Standard Not Met: Food properly stored; food storage containers identified"

"PR0042197","20140522","F044","Standard Not Met: Floors, walls and ceilings: properly built, maintained in good repair and clean"

"PR0042197","20140522","F027","Standard Not Met: Food separated and protected"

"PR0042197","20140522","F001","Standard Not Met: Demonstration of knowledge"

"PR0011584","20140522","F039","Standard Not Met: Wiping cloths: properly used and stored"

