business_id,score,date

PR0001972,93.00,20151201

PR0001977,99.00,20160223

PR0001977,100.00,20151008

PR0001981,91.00,20150929

PR0001981,100.00,20150929

PR0001981,95.00,20160304

PR0001983,94.00,20150617

PR0001983,92.00,20150825

PR0001983,92.00,20160311

PR0001988,98.00,20150729

PR0001988,100.00,20160304

PR0001988,100.00,20160316

PR0001988,96.00,20160304

PR0001989,96.00,20151218

PR0001990,96.00,20150820

PR0001991,94.00,20150909

PR0001991,98.00,20160309

PR0001992,100.00,20150624

PR0001992,100.00,20160105

PR0001999,100.00,20160413

PR0001999,96.00,20160126

PR0001999,90.00,20160407

PR0002000,91.00,20150929

PR0002000,96.00,20160304

PR0002020,97.00,20151022

PR0002020,95.00,20160210

PR0002026,98.00,20160114

PR0002028,95.00,20160204

PR0002028,94.00,20150720

PR0002030,91.00,20150930

PR0002030,100.00,20151002

PR0002030,90.00,20160309

PR0002031,95.00,20150728

PR0002031,98.00,20160203

PR0002032,94.00,20150924

PR0002032,90.00,20160303

PR0002036,93.00,20150617

PR0002036,94.00,20150708

PR0002036,93.00,20160204

PR0002037,93.00,20150709

PR0002037,100.00,20160308

PR0002037,100.00,20160309

PR0002037,95.00,20160309

PR0002038,93.00,20151007

PR0002039,94.00,20160329

PR0002039,94.00,20150715

PR0002039,94.00,20150601

PR0002040,95.00,20160203

PR0002040,91.00,20150730

PR0002043,90.00,20150728

PR0002043,93.00,20160309

PR0002047,94.00,20150624

PR0002047,92.00,20160126

PR0002053,98.00,20150624

PR0002053,98.00,20150930

PR0002053,98.00,20160308

PR0002055,95.00,20151203

PR0002055,95.00,20160331

PR0002059,94.00,20151104

PR0002059,93.00,20150619

PR0002059,100.00,20150623

PR0002061,94.00,20160218

PR0002061,96.00,20150910

PR0002065,93.00,20160114

PR0002072,91.00,20150908

PR0002072,92.00,20160210

PR0002073,91.00,20160202

PR0002073,92.00,20150729

PR0002074,90.00,20151002

PR0002074,91.00,20160316

PR0002075,100.00,20150722

PR0002075,90.00,20150722

PR0002075,100.00,20150730

PR0002075,100.00,20150730

PR0002075,100.00,20150828

PR0002075,100.00,20150910

PR0002075,90.00,20151028

PR0002075,87.00,20160407

PR0002075,98.00,20160414

PR0002079,92.00,20160120

PR0002079,92.00,20150722

PR0002081,98.00,20151103

PR0002087,95.00,20150805

PR0002089,90.00,20160503

PR0002089,94.00,20151208

PR0002089,93.00,20150713

PR0002092,95.00,20151028

PR0002092,99.00,20160419

PR0002093,98.00,20150827

PR0002094,94.00,20160517

PR0002094,92.00,20160309

PR0002094,91.00,20150728

PR0002094,100.00,20160309

PR0002095,93.00,20151230

PR0002096,100.00,20151229

PR0002097,97.00,20160226

PR0002097,93.00,20150804

PR0002097,100.00,20160226

PR0002098,95.00,20160331

PR0002098,96.00,20150713

PR0002101,94.00,20150728

PR0002101,100.00,20160307

PR0002112,95.00,20150610

