business_id,name,address,city,state,postal_code

PR0001972,"ARBY'S","1406 W 6TH ST ",Corona,CA,92882-

PR0001977,"BAKER'S BURGERS","13110 MAGNOLIA AVE ",Corona,CA,92879-

PR0001981,"BUDGET KING MEATS","415 E 6TH ST ",Corona,CA,92879-

PR0001983,"PETER'S BURGERS","923 W 6TH ST ",Corona,CA,92882-

PR0001988,"CARL'S JR.","23740 TEMESCAL CANYON RD ",Corona,CA,92883-

PR0001989,"CARL'S JR. #700","1865 W 6TH ST ",Corona,CA,92879-

PR0001990,"CARL'S JR. #735","1199 MAGNOLIA AVE ",Corona,CA,92881-

PR0001991,"CARL'S JR #810","2199 SAMPSON AVE ",Corona,CA,92879-

PR0001992,"GRANITE PLACE","101 GRANITE ST Ste.A",Corona,CA,92879-

PR0001999,"CHUCK E. CHEESE'S #407","191 MCKINLEY ST ",Corona,CA,92879-

PR0002000,"CHUCK WAGON","1070 E 6TH ST ",Corona,CA,92879-

PR0002020,"AYRES INN","2260 GRIFFIN WAY ",Corona,CA,92879-

PR0002026,"DEL TACO #248","310 N MCKINLEY ST ",Corona,CA,92879-

PR0002028,"DEL TACO #4","103 E 3RD ST ",Corona,CA,928780045-

PR0002030,"DENNY'S RESTAURANT","165 N MCKINLEY ST ",Corona,CA,92879-

PR0002031,"DALIA'S PIZZA MARKET","1411 S RIMPAU AVE #104",Corona,CA,92879-

PR0002032,"RESTAURANT MEXICO LINDO","1340 SIXTH ST ",Corona,CA,92882-

PR0002036,"DONUT STAR","503 E 6TH ST ",Corona,CA,92879-

PR0002037,"DONUT STAR","131 MCKINLEY ST ",Corona,CA,92879-

PR0002038,"DONUT STAR","1222 MAGNOLIA AVE ",Corona,CA,92881-

PR0002039,"SUPER TACO","450 S MAIN ST ",Corona,CA,92882-

PR0002040,"MARISCOLANDIA RESTAURANT","115 MCKINLEY ST #101",Corona,CA,92879-

PR0002043,"EL TACO LUCAS","401 S LINCOLN AVE Ste.G",Corona,CA,92882-

PR0002047,"ELK'S CLUB #2045","912 E 6TH ST ",Corona,CA,92879-

PR0002053,"ANTHONY'S PIZZA AND PASTA","13100 MAGNOLIA AVE STE.H",Corona,CA,92879-

PR0002055,"GLEN IVY HOT SPRINGS","25000 GLEN IVY RD ",Corona,CA,92883-

PR0002059,"CHINA GARDEN EXPRESS","2681 GREEN RIVER DR 102 ",Corona,CA,92882-

PR0002061,"HONG KONG RESTAURANT","1370 W 6TH ST ",Corona,CA,92879-

PR0002065,"JACK IN THE BOX #360","1501 W 6TH ST ",Corona,CA,92882-

PR0002072,"MARCELLO'S PIZZA","691 S MAIN ST ",Corona,CA,92882-

PR0002073,"TUDY'S RESTAURANT","1027 W 6TH ST ",Corona,CA,92882-

PR0002074,"JUGOS VALLARTA","675 E GRAND BLVD ",Corona,CA,92882-

PR0002075,"MAYA'S CAFE","13627 MAGNOLIA AVE ",Corona,CA,92879-

PR0002079,"KOPPUR LANTERN LIQUORS","1463 W 6TH ST ",Corona,CA,92882-

PR0002081,"KRISTY DONUTS","1264 BORDER AVE ",Corona,CA,92882-

PR0002087,"LITTLE CAESAR'S PIZZA #5902","1501 RIMPAU AVE #102",Corona,CA,92881-

PR0002089,"LUCKY GREEK","3852 MCKINLEY ST ",Corona,CA,92876-

PR0002092,"MCDONALD'S","400 MCKINLEY ST ",Corona,CA,92879-

PR0002093,"MCDONALD'S","1215 MAGNOLIA AVE ",Corona,CA,92881-

PR0002094,"MCDONALD'S #4869","310 S LINCOLN AVE ",Corona,CA,92882-

PR0002095,"MICHELLE'S","1330 W 6TH ST ",Corona,CA,92882-

PR0002096,"MIGUEL'S JR.","1039 W 6TH ST ",Corona,CA,92882-

PR0002097,"MIGUEL'S JR. HOMESTYLE MEXICAN FOOD","1570 W 6TH ST ",Corona,CA,92882-

PR0002098,"MIMI'S CAFE  #19","2230 GRIFFIN WAY ",Corona,CA,92879-

PR0002101,"MR. BLUE'S DONUTS","401 LINCOLN AVE F",Corona,CA,92882-

PR0002112,"JUAN POLLO CORONA INC","1277 W 6TH ST STE.F",Corona,CA,92882-

PR0002122,"SAM'S MOBIL","1580 W 6TH ST ",Corona,CA,92882-

PR0002127,"SILVER DOLLAR PANCAKE HOUSE","710 E 6TH ST ",Corona,CA,92879-

PR0002128,"SIZZLER RESTAURANT","1461 RIMPAU AVE ",Corona,CA,92881-

PR0002138,"SUBWAY #7556","300 MCKINLEY ST ",Corona,CA,92879-

PR0002139,"SUBWAY #7329","1222 MAGNOLIA AVE ",Corona,CA,92881-

PR0002144,"THAI STAR B.B.Q.","3848 MCKINLEY ST M",Corona,CA,92879-

PR0002151,"TOGO'S EATERY","650 S LINCOLN AVE #107",Corona,CA,92882-

PR0002152,"TOM'S FARMS CHEESE & WINE SHOP","23900 TEMESCAL CANYON RD ",Corona,CA,92883-

PR0002154,"EDUARDO'S MEXICAN RESTAURANT","513 W 6TH ST ",Corona,CA,92882-

PR0002163,"90 SUPER MARKET","10051 MAGNOLIA AVE ",Riverside,CA,92503-

PR0002169,"ANCHOS SOUTHWEST GRILL & BAR","10773 HOLE AVE ",Riverside,CA,92505-

PR0002170,"ARBY'S","10160 HOLE AVE ",Riverside,CA,92503-

PR0002174,"KOREANA GRILL","10051 MAGNOLIA AVE ",Riverside,CA,92503-

PR0002182,"EVENTS SPORTS GRILL","10560 MAGNOLIA AVE A",Riverside,CA,92505-

PR0002183,"BURGER KING","3630 TYLER ST ",Riverside,CA,92503-

PR0002184,"Snack Shack","3500 POLK ST ",Riverside,CA,92505-

PR0002188,"TACO TIO/NY PIZZA","3570 VAN BUREN BLVD ",Riverside,CA,92503-

PR0002190,"CAFE NORDSTROM","3601 GALLERIA TYLER ",Riverside,CA,92503-

PR0002191,"NORDSTROM ESPRESSO BAR","3601 GALLERIA TYLER ",Riverside,CA,92503-

PR0002195,"CASTLE PARK CAFE","3500 POLK ST ",Riverside,CA,92505-

PR0002196,"CASTLE PARK","3500 POLK ST ",Riverside,CA,92505-

PR0002197,"DENNY'S RESTAURANT #6864","6875 VALLEY WAY ",Riverside,CA,92509-

PR0002198,"CHEN LING PALACE","9856 MAGNOLIA AVE ",Riverside,CA,92503-

PR0002205,"ICE TOWN SNACK BAR","10540 MAGNOLIA AVE A",Riverside,CA,92505-

PR0002207,"DEL TACO #346","10494 MAGNOLIA AVE ",Riverside,CA,92505-

PR0002208,"DEL TACO #398","3199 VAN BUREN BLVD ",Riverside,CA,92503-

PR0002210,"DEL TACO #229","4740 LA SIERRA AVE ",Riverside,CA,92505-

PR0002213,"DOMINO'S PIZZA","11170 MAGNOLIA AVE ",Riverside,CA,92506-

PR0002214,"DON JOSE RESTAURANT","3848 LA SIERRA AVE ",Riverside,CA,92503-

PR0002216,"DRAGON HOUSE","10466 MAGNOLIA AVE ",Riverside,CA,92505-

