business_id,name,address,city,state,postal_code,latitude,longitude,phone_number

FA0000005,"DOMINO'S ","9885 CENTRAL AV ",MONTCLAIR,CA,91763,34.0745960000,-117.6893440000,9094476730

FA0000007,"CHINA TOWN FAST FOOD","25542 BARTON RD ",LOMA LINDA,CA,92354,34.0485970000,-117.2468080000,9097996633

FA0000009,"KRISPY KREME DOUGHNUTS","4485 MILLS CR ",ONTARIO,CA,91764,34.0765100000,-117.5546100000,2134948848

FA0000012,"PANDA EXPRESS","12629 FOOTHILL BL ",RANCHO CUCAMONGA,CA,91730,34.1060790000,-117.5286810000,9098992111

FA0000014,"KFC ","4371 ONTARIO MILLS PKWY",ONTARIO,CA,91764,34.0693950000,-117.5564050000,9099877569

FA0000021,"BABIES""R""US ","4430 ONTARIO MILLS PKWY ",ONTARIO,CA,91764,34.0697680000,-117.5544060000,9099872950

FA0000023,"TOYS""R""US ","4460 ONTARIO MILLS PKWY ",ONTARIO,CA,91764,34.0697680000,-117.5535840000,9099879814

FA0000024,"CHUCK E CHEESE'S ","12790 AMARGOSA RD ",VICTORVILLE,CA,92392,34.4821740000,-117.3379620000,7608430609

FA0000038,"STATER BROS MARKET ","16904 MAIN ST ",HESPERIA,CA,92345,34.4206410000,-117.2944620000,9097335005

FA0000041,"PILOT TRAVEL CENTER ","8701 HWY 395 ",HESPERIA,CA,92345,34.4083830000,-117.3991640000,7609567190

FA0000043,"SHOP N GO","1101 N RANCHO AV ",COLTON,CA,92324,34.0777780000,-117.3350750000,9095140881

FA0000048,"R & R CHEVRON / SUBWAY","57266 TWENTYNINE PALMS HWY ",YUCCA VALLEY,CA,92284,34.1233310000,-116.4149760000,7603658717

FA0000054,"HAPPY PLACE FLY BILLIARDS","1285 W 5TH ST ",SAN BERNARDINO,CA,92411,34.1081670000,-117.3133010000,9093618839

FA0000060,"PHO CENTURY","1244 W FOOTHILL BL ",UPLAND,CA,91786,34.1065340000,-117.6712980000,9099852881

FA0000063,"PETRILLI'S PIZZA LLC","110 S MOUNTAIN AV STE F",UPLAND,CA,91786,34.0933060000,-117.6699440000,9099818114

FA0000064,"PACIFICA SENIOR LIVING HILLSBOROUGH","11918 CENTRAL AV ",CHINO,CA,91710,34.0367190000,-117.6897300000,9095482100

FA0000066,"CROSSROADS FUEL","913 BARSTOW RD ",BARSTOW,CA,92311,34.8878810000,-117.0227270000,7602563393

FA0000073,"SI COMO NO MEXICAN RESTAURANT","2407 S GROVE AV ",ONTARIO,CA,91761,34.0295570000,-117.6282740000,9099474090

FA0000075,"PIZZA HOUSE","1616 E WASHINGTON AV ",COLTON,CA,92324,34.0482480000,-117.3006500000,9514549656

FA0000081,"JACK IN THE BOX ","990 N MOUNTAIN AV ",ONTARIO,CA,91762,34.0758210000,-117.6699640000,9099865878

FA0000082,"TOMMY'S ORIGINAL HAMBURGERS","2610 FISHER RD ",BARSTOW,CA,92311,34.8545820000,-117.0829490000,7602535500

FA0000084,"WALGREENS ","16108 FOOTHILL BL ",FONTANA,CA,92335,34.1066890000,-117.4529830000,9093576800

FA0000104,"99 CENTS ONLY STORES ","4050 CHINO HILLS PKWY ",CHINO HILLS,CA,91709,33.9827520000,-117.7165460000,9093937720

FA0000109,"THREE SISTERS TRUCK STOP","14416 SLOVER AV ",FONTANA,CA,92337,34.0630030000,-117.4908510000,9098224415

FA0000110,"RITE AID ","3000 S ARCHIBALD AV ",ONTARIO,CA,91761,34.0187330000,-117.5933580000,9097730142

FA0000116,"RABI'S CAFE","930 N CENTRAL AV",UPLAND,CA,91786,34.1053920000,-117.6895200000,9099811100

FA0000121,"ONTARIO FARMER'S MARKET","1701 S MOUNTAIN AV ",ONTARIO,CA,91762,34.0432620000,-117.6697750000,9099333750

FA0000129,"BURGER KING ","1361 W FOOTHILL BL",RIALTO,CA,92376,34.1065670000,-117.3980590000,9094211900

FA0000132,"PANADERIA Y JUGUERIA REYES","9755 ARROW ROUTE STE D",RANCHO CUCAMONGA,CA,91730,34.0991690000,-117.5923400000,9094847866

FA0000138,"AMPM III","2456 S VINEYARD AV ",ONTARIO,CA,91761,34.0289820000,-117.6111340000,9099239633

FA0000139,"ENGEDI CAMP & CONFERENCE CENTER","1000 SUGAR PINEs RD",BIG BEAR CITY,CA,92314,34.2513050000,-116.8643710000,9095852418

FA0000142,"ROUNDIN 3RD SPORTS BAR & GRILL","1041 E 16TH ST STE F",UPLAND,CA,91784,34.1217230000,-117.6372120000,9099814700

