business_id,date,code,description,critical

FA0001338,20150311,K047,"Standard not met: Signs posted; last inspection report available",false

FA0000315,20151007,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0011162,20150212,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009090,20150218,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0013838,20150317,K039,"Standard not met: Thermometers provided and accurate",false

FA0009994,20150508,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0004588,20150318,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0026046,20150805,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0015788,20150504,K047,"Standard not met: Signs posted; last inspection report available",false

FA0011868,20151019,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0004812,20150316,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0000142,20150420,K039,"Standard not met: Thermometers provided and accurate",false

FA0009697,20150127,K039,"Standard not met: Thermometers provided and accurate",false

FA0011978,20150612,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0001660,20150728,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0012532,20160420,K030,"Standard not met: Food storage; food storage containers identified",false

FA0013982,20151118,K030,"Standard not met: Food storage; food storage containers identified",false

FA0009473,20150331,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0006306,20150319,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0019398,20150520,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0005134,20150203,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0013687,20160513,K039,"Standard not met: Thermometers provided and accurate",false

FA0009696,20150326,K030,"Standard not met: Food storage; food storage containers identified",false

FA0009078,20150416,K030,"Standard not met: Food storage; food storage containers identified",false

FA0009148,20151102,K039,"Standard not met: Thermometers provided and accurate",false

FA0014681,20150717,K047,"Standard not met: Signs posted; last inspection report available",false

