"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"

"PR0000002","SHORTSTOP ARAPAHOE","1595 55TH ST ","BOULDER","CO","80303-1207","40.0141724176","-105.2257626170","13034499266"

"PR0000005","FAT SHACK","1110 13TH ST","BOULDER","CO","80302","40.0075556056","-105.2760475140","13034422610"

"PR0000008","AMERICAN LEGION BOULDER POST 10","4760 N 28TH AVE ","BOULDER","CO","80301-1651","40.0604928973","-105.2732891900","13034429551"

"PR0000009","MOXIE BREAD COMPANY","641 MAIN ST ","LOUISVILLE","CO","80027-1827","39.9767098647","-105.1322205740","17204568461"

"PR0000010","ABOS PIZZA NIWOT","7960 NIWOT RD B5","NIWOT","CO","80503-7150","40.1014820000","-105.1679600000","13036520830"

"PR0000013","AKIS SUNDANCE CAFE","23942 HWY 119","NEDERLAND","CO","80466-0000","39.9496627518","-105.5037409490","13032580804"

"PR0000014","MT EVEREST CUISINE","4800 BASELINE RD UNIT A107","BOULDER","CO","80303-2699","39.9984186801","-105.2357913130","13034990469"

"PR0000016","DISH GOURMET","1918 PEARL ST STE 100","BOULDER","CO","80302-4428","40.0201006162","-105.2704957170","17205655933"

"PR0000019","ROCKY MOUNTAIN PATHWAY RANCH","15747 HWY 7 ","ALLENSPARK","CO","80510","40.1939448230","-105.5131277090","13037479001"

"PR0000022","ABOS PIZZA SOUTH","637 S BROADWAY UNIT S","BOULDER","CO","80303-5961","39.9837703992","-105.2505369330","13034941274"

"PR0000023","ABOS PIZZA NORTH","2761 IRIS AVE ","BOULDER","CO","80304-2433","40.0374884780","-105.2597386850","13034431922"

"PR0000024","ABOS PIZZA","1355 SOUTH BOULDER RD C2","LOUISVILLE","CO","80027-2301","39.9881717208","-105.1251171980","13036049896"

"PR0000025","ARAPAHOE MEAT CO","12420 ARAPAHOE RD ","LAFAYETTE","CO","80026-9400","40.0147185938","-105.0625957290","13036739165"

"PR0000026","ARAPAHOE RIDGE HIGH SCHOOL","6600 E ARAPAHOE RD ","BOULDER","CO","80303-1408","40.0145420000","-105.1994240000","13034471010"

"PR0000028","ARBYS","2150 N MAIN ST ","LONGMONT","CO","80501-1407","40.1979315821","-105.1018758670","13037721766"

"PR0000029","WENDYS 11318","2420 BASELINE RD ","BOULDER","CO","80303-3323","39.9994288091","-105.2626585290","13034995848"

"PR0000031","IHOP 1836","1675 28TH ST ","BOULDER","CO","80301-1001","40.0164415743","-105.2589015560","13034442115"

"PR0000033","ASIAN SEAFOOD MARKET","2833 28TH ST ","BOULDER","CO","80301-1223","40.0280620122","-105.2591926830","13035419377"

"PR0000034","ALBERTSONS FOOD CENTER 2812","910 W CHERRY ST ","LOUISVILLE","CO","80027-3044","39.9640781313","-105.1590839480","13036668950"

"PR0000036","SOUTH MOUTH WINGS","1650 BROADWAY","BOULDER","CO","80302-6219","40.0139689605","-105.2782795270","13034499464"

"PR0000041","BOULDER BAKED","1911 S BROADWAY ","BOULDER","CO","80302-5207","40.0170250000","-105.2798650000","13034444999"

"PR0000044","SAVE A LOT","1750 N MAIN ST ","LONGMONT","CO","80501-2036","40.1902135500","-105.1006237240","17208648060"

"PR0000048","LYFE KITCHEN","1600 PEARL ST ","BOULDER","CO","80302-5411","40.0188850000","-105.2745150000","13032450950"

"PR0000049","BEAR CREEK ELEMENTARY SCHOOL","2500 TABLE MESA DR ","BOULDER","CO","80303-5746","39.9810070000","-105.2627230000","13034998555"

"PR0000052","SANCHEZ ELEMENTARY","655 SIR GALAHAD DR ","LAFAYETTE","CO","80026-1979","39.9882650000","-105.0827080000","17205617300"

