"business_id","score","date","description","type"

"PR0000002","0","20160104","","Routine"

"PR0000005","55","20160105","","Routine"

"PR0000008","5","20150409","","Routine"

"PR0000009","0","20150714","","Routine"

"PR0000010","40","20150320","","Routine"

"PR0000013","50","20140703","","Routine"

"PR0000014","53","20150424","","Routine"

"PR0000016","85","20141107","","Routine"

"PR0000019","0","20160112","","Routine"

"PR0000019","10","20140618","","Routine"

"PR0000022","15","20150223","","Routine"

"PR0000023","30","20160129","","Routine"

"PR0000024","0","20160425","","Routine"

"PR0000026","0","20151019","","Routine"

"PR0000026","2","20141105","","Routine"

"PR0000029","0","20150921","","Routine"

"PR0000031","55","20150210","","Routine"

"PR0000033","0","20140530","","Routine"

"PR0000033","10","20150409","","Routine"

"PR0000033","19","20150629","","Routine"

"PR0000036","35","20150202","","Routine"

"PR0000036","37","20160225","","Routine"

"PR0000041","35","20150902","","Routine"

"PR0000044","25","20140618","","Routine"

"PR0000048","31","20150224","","Routine"

"PR0000049","0","20151016","","Routine"

"PR0000049","20","20141106","","Routine"

"PR0000052","0","20140918","","Routine"

"PR0000052","0","20151006","","Routine"

"PR0000054","25","20150610","","Routine"

"PR0000057","10","20140528","","Routine"

"PR0000057","30","20150623","","Routine"

"PR0000059","30","20140725","","Routine"

"PR0000060","17","20150309","","Routine"

"PR0000064","0","20150701","","Routine"

"PR0000070","1","20140911","","Routine"

"PR0000070","5","20150930","","Routine"

"PR0000074","75","20160413","","Routine"

"PR0000076","42","20150813","","Routine"

"PR0000078","0","20151105","","Routine"

"PR0000078","1","20141021","","Routine"

"PR0000081","0","20140717","","Routine"

"PR0000084","0","20150828","","Routine"

"PR0000085","15","20160420","","Routine"

"PR0000086","12","20150730","","Routine"

"PR0000087","15","20151019","","Routine"

"PR0000090","22","20150716","","Routine"

"PR0000092","50","20160414","","Routine"

"PR0000093","50","20140715","","Routine"

"PR0000095","40","20140711","","Routine"

"PR0000095","45","20160519","","Routine"

"PR0000102","15","20140602","","Routine"

"PR0000103","0","20160201","","Routine"

"PR0000106","0","20160225","","Routine"

"PR0000111","6","20141215","","Routine"

"PR0000112","0","20151103","","Routine"

"PR0000112","25","20141107","","Routine"

"PR0000114","0","20150210","","Routine"

"PR0000114","0","20160316","","Routine"

"PR0000115","20","20160407","","Routine"

"PR0000117","0","20140826","","Routine"

"PR0000119","31","20160120","","Routine"

"PR0000122","5","20140710","","Routine"

"PR0000123","7","20160121","","Routine"

"PR0000123","122","20150309","","Routine"

"PR0000126","22","20150901","","Routine"

"PR0000129","30","20140617","","Routine"

"PR0000131","10","20150504","","Routine"

"PR0000133","15","20140620","","Routine"

"PR0000138","43","20150706","","Routine"

"PR0000141","15","20150701","","Routine"

"PR0000146","20","20140820","","Routine"

"PR0000149","15","20150423","","Routine"

"PR0000150","25","20160122","","Routine"

"PR0000150","35","20141204","","Routine"

"PR0000151","30","20150724","","Routine"

"PR0000154","10","20140909","","Routine"

"PR0000156","43","20150715","","Routine"

"PR0000158","21","20151026","","Routine"

"PR0000163","35","20160412","","Routine"

"PR0000164","41","20150914","","Routine"

"PR0000168","20","20150902","","Routine"

"PR0000169","15","20160201","","Routine"

"PR0000170","60","20160303","","Routine"

"PR0000171","2","20150121","","Routine"

"PR0000172","10","20140911","","Routine"

"PR0000172","10","20151019","","Routine"

"PR0000173","0","20151103","","Routine"

"PR0000173","29","20141204","","Routine"

"PR0000174","0","20150701","","Routine"

"PR0000175","0","20150203","","Routine"

"PR0000176","20","20150219","","Routine"

"PR0000176","30","20160314","","Routine"

"PR0000177","30","20160401","","Routine"

"PR0000179","45","20140603","","Routine"

"PR0000179","55","20160503","","Routine"

"PR0000180","35","20160330","","Routine"

"PR0000181","130","20141208","","Routine"

"PR0000182","20","20150904","","Routine"

"PR0000183","0","20151020","","Routine"

"PR0000183","10","20141029","","Routine"

"PR0000184","18","20160512","","Routine"

"PR0000186","0","20151102","","Routine"

"PR0000186","4","20141205","","Routine"

"PR0000189","21","20160112","","Routine"

"PR0000190","28","20141028","","Routine"

"PR0000191","35","20150717","","Routine"

"PR0000192","0","20150608","","Routine"

"PR0000195","6","20140822","","Routine"

"PR0000196","10","20151120","","Routine"

"PR0000196","13","20141202","","Routine"

"PR0000197","0","20141218","","Routine"

"PR0000199","60","20140729","","Routine"

"PR0000201","30","20150320","","Routine"

"PR0000202","10","20150224","","Routine"

"PR0000203","0","20151019","","Routine"

"PR0000203","30","20141208","","Routine"

"PR0000211","36","20160314","","Routine"

"PR0000211","70","20141021","","Routine"

"PR0000213","0","20140623","","Routine"

"PR0000215","2","20150529","","Routine"

"PR0000216","2","20150529","","Routine"

"PR0000219","10","20140815","","Routine"

"PR0000221","0","20140625","","Routine"

"PR0000225","25","20160330","","Routine"

"PR0000229","5","20160425","","Routine"

"PR0000230","45","20150717","","Routine"

"PR0000231","1","20150331","","Routine"

"PR0000233","112","20160108","","Routine"

"PR0000234","35","20160516","","Routine"

"PR0000234","45","20141202","","Routine"

"PR0000237","62","20160203","","Routine"

"PR0000238","20","20141006","","Routine"

"PR0000238","41","20150909","","Routine"

"PR0000239","10","20160106","","Routine"

"PR0000242","40","20160304","","Routine"

"PR0000244","18","20150722","","Routine"

"PR0000244","107","20140804","","Routine"

"PR0000245","40","20140627","","Routine"

"PR0000248","0","20150116","","Routine"

"PR0000248","10","20160315","","Routine"

"PR0000251","0","20151102","","Routine"

"PR0000251","12","20141114","","Routine"

"PR0000253","15","20160328","","Routine"

"PR0000254","20","20140918","","Routine"

"PR0000258","61","20151006","","Routine"

"PR0000259","45","20140521","","Routine"

"PR0000267","35","20160316","","Routine"

"PR0000267","79","20141113","","Routine"

"PR0000278","5","20151112","","Routine"

"PR0000280","14","20140722","","Routine"

"PR0000280","20","20160203","","Routine"

"PR0000282","41","20150522","","Routine"

"PR0000282","42","20151015","","Routine"

"PR0000283","15","20160303","","Routine"

"PR0000284","15","20140610","","Routine"

"PR0000286","11","20150420","","Routine"

"PR0000287","30","20141110","","Routine"

"PR0000288","0","20160330","","Routine"

"PR0000290","35","20160229","","Routine"

"PR0000291","0","20140826","","Routine"

"PR0000292","20","20160408","","Routine"

"PR0000293","22","20140619","","Routine"

"PR0000295","20","20140522","","Routine"

"PR0000296","21","20150206","","Routine"

"PR0000297","20","20140716","","Routine"

"PR0000299","0","20141204","","Routine"

"PR0000299","0","20151103","","Routine"

"PR0000300","0","20151116","","Routine"

"PR0000304","5","20150212","","Routine"

"PR0000305","20","20160229","","Routine"

"PR0000308","0","20151016","","Routine"

"PR0000308","16","20141205","","Routine"

"PR0000309","20","20150902","","Routine"

"PR0000314","0","20140908","","Routine"

"PR0000315","63","20150410","","Routine"

"PR0000316","10","20150120","","Routine"

"PR0000318","0","20140821","","Routine"

"PR0000323","10","20141202","","Routine"

"PR0000323","20","20160201","","Routine"

"PR0000326","4","20150126","","Routine"

"PR0000327","10","20140723","","Routine"

"PR0000328","50","20140626","","Routine"

"PR0000331","10","20140626","","Routine"

"PR0000332","25","20140626","","Routine"

"PR0000333","36","20150626","","Routine"

"PR0000333","55","20150129","","Routine"

"PR0000333","60","20160504","","Routine"

"PR0000334","35","20140624","","Routine"

"PR0000335","12","20150512","","Routine"

"PR0000337","5","20150811","","Routine"

"PR0000338","95","20151110","","Routine"

"PR0000340","7","20150427","","Routine"

"PR0000341","20","20160415","","Routine"

"PR0000342","2","20150410","","Routine"

"PR0000344","46","20160111","","Routine"

"PR0000345","15","20141110","","Routine"

"PR0000347","10","20151105","","Routine"

"PR0000347","22","20141113","","Routine"

"PR0000349","4","20150803","","Routine"

"PR0000349","10","20140602","","Routine"

"PR0000350","33","20150518","","Routine"

"PR0000352","35","20150518","","Routine"

"PR0000353","36","20160112","","Routine"

"PR0000356","35","20160328","","Routine"

