Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
1931351,JIMMY GREEN'S,JIMMY GREEN'S,2142198,Restaurant,Risk 1 (High),823 -825 S STATE ST ,CHICAGO,IL,60605,05/20/2016,Complaint,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MEAT  SLICER NOT CLEAN AROUND BLADE HOUSING, INSTRUCTED TO CLEAN AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: LEAKY PIPE UNDER MAIN 3-COMP SINK. INSTRUCTED TO REPAIR. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: ICE BINS AT BAR MISSING LIDS, INSTRUCTED TO INSTALL. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: MISSING THERMOMETER IN SEVERAL COOLERS, INSTRUCTED TO INSTALL IN WARMEST PART WHERE IT COULD BE MONITORED. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: FOOD HANDLERS WITH BEARD NOT WEARING BEARD RESTRAINTS, INSTRUCTED TO WEAR.",41.87148772638832,-87.62736964313437,"(41.87148772638832, -87.62736964313437)"
1931343,CLUB KALIENTE,CLUB KALIENTE,2298495,Liquor,Risk 3 (Low),2300 S BLUE ISLAND AVE ,CHICAGO,IL,60608,05/20/2016,License Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: CORRECTED. VENTILATION FANS NOW WITH MESH SCREEN AND INSECT PROOFED. | 22. DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK - Comments: CORRECTED. CHEMICAL TEST STRIPS ON SITE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: CORRECTED. BACK FLOW PREVENTION DEVICE ON UTILITY SINK. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED NO VENTILATION IN THE WASHROOM LOCATED IN THE BASEMENT. INSTRUCTED TO PROVIDE AND MAINTAIN. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED CLUTTER IN WORKROOM LOCATED IN THE BASEMENT. INSTRUCTED TO REMOVE UNNECESSARY CLUTTER AND ELEVATE EVERYTHING AT LEAST 6 INCHES FROM THE GROUND AND MAINTAIN. 
 | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: CORRECTED. | 70. NO SMOKING REGULATIONS - Comments: CORRECTED.",41.850460661464666,-87.67107099662053,"(41.850460661464666, -87.67107099662053)"
1931333,DUNKIN DONUTS,DUNKIN DONUTS,2458853,Restaurant,Risk 2 (Medium),309 W CHICAGO AVE ,CHICAGO,IL,60654,05/20/2016,License,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED SLIGHT CALCIUM BUILD UP INSIDE ICE MACHINE. MUST CLEAN AND MAINTAIN INTERIOR OF ICE MACHINE. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: INSTRUCTED MANAGER ALL FOOD HANDLERS MUST BE CERTIFIED WITH CERTIFICATES OF NAMES OF EMPLOYEES ON PREMISES.",41.8964577550414,-87.63609804227903,"(41.8964577550414, -87.63609804227903)"
1931330,THE PITA KING,THE PITA KING,2464355,Restaurant,Risk 1 (High),6234 N CALIFORNIA AVE ,CHICAGO,IL,60659,05/20/2016,License,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED WALLS IN WASHROOM UNCLEAN. CLEAN ALL WALLS OR PAINT. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED FLOORS UNCLEAN. CLEAN ALL FLOORS AND MAINTAIN IN A SANITIARY CONDITION. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED RAW WOOD UNDER HOT WATER HEATER NEEDS TO PAINTED OR SEALED. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OSERVED MOP SINK UNCLEAN. CLEAN AND MAINTAIN.",41.99501027704687,-87.69969962161599,"(41.99501027704687, -87.69969962161599)"
1931332,HONEY BAKED HAM CO,HONEY BAKED HAM CO,4427,Grocery Store,Risk 2 (Medium),3018 W BELMONT AVE ,CHICAGO,IL,60618,05/20/2016,Canvass,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST PROVIDE HOT WATER FOR THE REAR MOP SINK. ALSO INCREASE THE COLD WATER PRESSURE AT THIS SAME MOP SINK. 
MUST INCREASE HOT WATER PRESSURE AT THE FRONT HAND SINK. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPAIR DAMAGED WALL COVING IN THE LADIES RESTROOM. 
MUST REMOVE PEELING PAINT AT THE WALL LOCATED ACROSS FROM THE CASH REGISTER AREA. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN THE INTERIOR DUST FAN GUARD COVERS AT THE LARGE FRONT WALK-IN COOLER.",41.9394690604149,-87.70349609623281,"(41.9394690604149, -87.70349609623281)"
1931318,"COMPLETELY NUTS, INC.",COMPLETELY NUTS,2464968,Navy Pier Kiosk,Risk 2 (Medium),600 E GRAND AVE ,CHICAGO,IL,60611,05/20/2016,License,Pass,,41.892094136861786,-87.61156988394656,"(41.892094136861786, -87.61156988394656)"
1931303,SEOUL TACO,SEOUL TACO,2464572,Restaurant,Risk 1 (High),738 N CLARK ST ,CHICAGO,IL,60654,05/20/2016,License,Fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: SOME COOLERS NOT MAINTAINED, AMBIENT AIR TEMPERATURE AT OVER 50 F. INSTRUCTED MANAGER ALL COOLERS MUST BE 40 F OR BELOW. CRITICAL VIOLATION. NO CITATION ISSUED. | 9. WATER SOURCE: SAFE, HOT & COLD UNDER CITY PRESSURE - Comments: NO RUNNING HOT WATER ON PREMISES. INSTRUCTED MANAGER MUST PROVIDE RUNNING HOT WATER AT 110 F OR ABOVE AT ALL SINKS. CRITICAL VIOLATION. NO CITATION ISSUED. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: REAR EXIT/ENTRANCE DOOR NOT RODENT PROOF. INSTRUCTED MANAGER TO RODENT PROOF SAID DOOR. SERIOUS VIOLATION. NO CITATION ISSUED.",41.89600474720552,-87.63138051690716,"(41.89600474720552, -87.63138051690716)"
1931298,D.C.S  FOODS,,2183800,Grocery Store,Risk 2 (Medium),3625 W CHICAGO AVE ,CHICAGO,IL,60651,05/20/2016,Canvass,Out of Business,,41.89534011545019,-87.7174706554521,"(41.89534011545019, -87.7174706554521)"
1771103,"THE HEARTY BOYS CATERERS, INC.",THE HEARTY BOYS CATERERS,2452334,Catering,Risk 1 (High),3525 W Grand AVE ,CHICAGO,IL,60651,05/19/2016,License,Fail,,41.9013366449651,-87.71458229854545,"(41.9013366449651, -87.71458229854545)"
1770967,VILLA PALERMO INC,VILLA PALERMO PIZZA,1470,Restaurant,Risk 1 (High),2154 W DEVON AVE ,CHICAGO,IL,60659,05/17/2016,Complaint,Fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: OBSERVED REACH IN REFRIGERATOR NEAR PIZZA OVEN CONTAINING POTENITALLY HAZARDOUS FOOD AT 51.4F. REPAIR MAN WAS CALLED AND UNIT WAS FIXED DURING INSPECTION TO 37.8F. CRITICAL VIOLATION 7-38-005 (A) | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: OBSERVED THE FOLLOWING POTENITALLY HAZARDOUS FOOD AT IMPROPER TEMPERATURE INCLUDING: 6LBS OF SAUSAGE VALUED AT $20 AT 51.4F, 3LBS OF PEPPERONI VALUED AT $5 AT 59.0F, 1LB OF BACON VALUED AT $5 AT 54.3F, 1LB OF COOKED BROCCOLI VALUED AT $2 AT 57.4F, 3LBS OF COOKED SPINACH VALUED AT $3 AT 56.8F, 1LB OF CUT PINAPPLE VALUED AT $2 AT 58.2F, 1LB OF SHRIMP VALUED AT $5 AT 57.3F, 1/2 LB OF CHICKEN VALUED AT $1 AT 56.5F, 2 LBS OF BACON VALUED AT $3 AT 57.3F. ALL FOOD WAS VOLUNTARILY DISCARDED AND DENATURED. CRITICAL VIOLATION O7-38-005 (A) | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED 10 RAT DROPPING IN BASEMENT CONTAINING ICE MACHINE AND SODA DISPENSING UNIT. MUST CLEAN UP ALL DROPPINGS AND SANITIZE ALL AFFECTED AREAS. MUCT CLEAN UP ALL DEAD ROACHES AND ELIMINATE ANY LIVE ACTIVITY. SERIOUS VIOLATION 7-38-020 | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED REACH IN COOLER RACKS AND REACH IN COOLER SHELVES WITH RUST AND PEELING/ CHIPPING PAINT. COOLERS NEXT TO STOVE AND ACCROSS FROM STOVE. REPAINT ALL RACKS AND MAINTAIN IN A SMOOTH EASILY CLEANABLE CONDITION. OBSERVED GASKETS ON ALL REACH IN REFRIGERATORS IN DISREPAIR. MUST REPLACE ALL TORN GASKETS ON ALL REFRIGERATORS. OBSERVED HANDLE ON REACH IN COOLER NEXT ACROSS FROM 3 COMPARTMENT SINK. REPAIR DOOR HANDLE. OBSERVED DOOR HANDLE TO WALK IN COOLER IN DISREPAIR. REPAIR AND MAINTAIN. OBSERVED RUSTY FOOD STORAGE SHELF BELOW HOT HOLDING UNIT. RESTORE SURFACE TO A SMOOTH EASILY CLEANABLE SURFACE AND MAINTAIN.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: ALL SHELVES TO ALL REACH IN COOLERS ARE UNCLEAN. CLEAN AND MAINTAIN. OBSERVED ALL INTERIOR AND EXTERIOR OF ALL REACH IN COOLERS UNCLEAN. CLEAN AND MAINTAIN. OBSERVED FAN COVERS IN 1ST WALK IN COOLER UNCLEAN WITH HEAVY DUST ACCUMULATION. CLEAN AND MAINTAIN. CLEAN ALL SHELVES UNDER FRONT CASH REGISTER AREA.  | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED DIRTY WIPING CLOTHS ALL OVER PIZZA COUNTERS. CLEAN ALL DIRTY WIPING CLOTHS AND USE SANITIZER TO STORE CLOTHS WHEN NOT IN USE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED FLOORS BEHIND SODA POP MACHINE VERY UNCLEAN IN CORNERS. CLEAN AND MAINTAIN ALL FLOORS BEHIND SODA AREA. CLEAN ALL FLOORS UNDER AND BEHIND ALL HEAVY COOKING EQUIPMENT. MAINTIAN FLOORS IN A CLEAN AND SANITIRY CONDITION. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED WALLS BEHIND SODA DISPENSING AREA UNCLEAN. CLEAN AND MAINTAIN. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: ALL THERMOMETERS NEED EASY TO READ THERMOMETERS WITHIN COOLERS THAT CAN BE CHECKED OFTEN TO INSURE COOLERS ARE AT 40F OR LESS AT ALL TIMES. | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: OBSERVED MOPS NOT HUNG AFTER USE. HANG MOPS TO DRY AFTER USE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED LEAKING CONDITION UNDER 3 COMPARTMENT SINK. REPAIR AND MAINTAIN | 45. FOOD HANDLER REQUIREMENTS MET - Comments: ADDITIONAL IDPH FOOD HANDLER INFORMATION PROVIDED.",41.99792641964382,-87.68478485824427,"(41.99792641964382, -87.68478485824427)"
