BusinessName,DBAName,LegalOwner,NameLast,NameFirst,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,RESULTDTTM,Violation,ViolLevel,ViolDesc,VIOLDTTM,ViolStatus,StatusDate,Comments,Address,City,State,Zip,Property_ID,Location
Uno Chicago Grill,,NICOLE E. ADAMS,NICOLE E. ADAMS,,18961,01/09/2012 03:57:09 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,11/28/2014 02:14:37 PM,14-4-202.11,*,Food Contact Surfaces Design,11/28/2014 02:14:37 PM,Fail,,Some cutting boards at the prep area heavily scored. Resurface or replace.,1   Brookline AV,Boston,MA,02215,157196,"(42.34842, -71.097471)"
Ziti's Express,,LAMBERT GREGORY,Tremont Street Burger L L C,,67693,12/19/2011 01:53:23 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Filed,12/19/2014 01:38:25 PM,36-6-501.11-.12,*,Improper Maintenance of Floors,12/19/2014 01:38:25 PM,Pass,2014-12-19 15:24:32,Built up debris  food  grease and grime on floor. Clean floor under & behind all equipment.,140   Tremont ST,Boston,MA,02111,156397,"(42.355646, -71.062559)"
Uno Chicago Grill,,SPENCER AARONN D,UNO RESTAURANTS,LLC  LEGAL DEPARTMENT,18958,01/09/2012 03:53:57 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,02/28/2008 02:27:43 PM,17-4-302.14,*,Test Kit Provided,02/28/2008 03:22:56 PM,Pass,2008-02-28 15:22:56,No test kit available for wiping cloth buckets. Provide.,727   Boylston ST,Boston,MA,02116,18385,"(42.349589, -71.080292)"
Pizza Stop,,DEMERTZIDIS NICHOLAS,Efstathios,Andreadis,98122,10/01/2013 08:44:22 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Filed,12/03/2015 11:36:29 AM,23-4-602.13,*,Non-Food Contact Surfaces Clean,12/03/2015 11:36:29 AM,Pass,2015-12-04 09:18:17,clean all bulk containers...clean all shelving at prep area...clean and degrease all cooking equipment interior and exterior...clean 3 compartmant sink and remove mold buildup...,851   Harrison AV,Roxbury,MA,02118,70068,"(42.33474, -71.07567)"
CANTON HOUSE,,,LI TING LI PRESIDENT,,23526,02/01/2012 03:06:08 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,06/17/2013 02:27:00 PM,42-6-501.113/.114,*,Premises Maintained,06/17/2013 02:27:00 PM,Fail,,Cell phones and other non-cooking equipment stored on shelves on cook line and prep table. Discontinue and store properly.,6  Hancock St,Dorchester,MA,02125,158300,"(42.315595, -71.065919)"
Uno Chicago Grill,,SPENCER AARONN D,UNO RESTAURANTS,LLC  LEGAL DEPARTMENT,18958,01/09/2012 03:53:57 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,04/17/2012 11:41:11 AM,23-4-602.13,*,Non-Food Contact Surfaces Clean,04/17/2012 11:41:11 AM,Fail,,Condensor fans with dust build up  clean to remove.,727   Boylston ST,Boston,MA,02116,18385,"(42.349589, -71.080292)"
UNION OYSTER HOUSE,,MILANO JOSEPH A JR TRST,MILANO,JOSEPH A.,19089,12/14/2011 02:11:17 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,12/18/2012 11:07:29 AM,15-4-202.16,*,Non-Food Contact Surfaces,12/18/2012 11:07:29 AM,Fail,,Main kitchen-teal exposed insulation at ice machine.,41  Union St,Boston,MA,02108,139293,"(42.36127, -71.05688)"
BUKHARA INDIAN BISTRO,,BRUCE THERESA,AMRIK SINGH PABLA,,21016,01/12/2012 03:33:18 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,06/05/2014 02:35:07 PM,08-3-302.11/3-304.11,***,Separation  Segregation Cross Contamination,06/05/2014 02:35:07 PM,Pass,2014-06-05 15:33:21,Raw lamb stored above cooked spinch in walk in refrigerator. Hand out left.,701   Centre ST,Jamaica Plain,MA,02130,28172,"(42.31159, -71.11461)"
PHO 2000,,SCHIAVO BRUNO A TS,Dung Ngu,,76202,04/06/2012 12:14:16 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,03/06/2013 01:24:07 PM,29-5-201/02.11,*,Installed and Maintained,03/06/2013 01:24:07 PM,Pass,2013-03-06 15:43:00,Prep sink leaking. Have repaired,198   Adams ST,Dorchester,MA,02122,606,"(42.30224, -71.06)"
DRAGON CHEF CHINESE REST.,,,RU BANG CHEN PRES.,,21347,02/06/2012 10:55:13 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,05/17/2012 05:30:11 PM,M-2-201.11/.14 .15,***,Non-Compliance w/Employee Health Policy,05/17/2012 05:30:11 PM,Fail,,,411  Washington St,Brighton,MA,02135,156051,"(42.349266, -71.15532)"
