Establishment ID,Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
17739,HOME GOODS #215,5130 NICHOLSON LN.,,ROCKVILLE,20895,12/03/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"HOME GOODS, INC./SALES TAX",Market,Food,39.0441,-77.1046,"(39.0441, -77.1046)"
21358,PIZZA LEO & ASTEROIDS,4836 BOILING BROOKE PARKWAY,,ROCKVILLE,20852,02/09/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,"LOFTI & IS8AM, INC.",Market,Food,39.046,-77.099,"(39.046, -77.099)"
29504,GREENE TURTLE,19961 CENTURY BLVD,,GERMANTOWN,20874,03/11/2016,Critical Violations Corrected,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,WILMUR LLC,Restaurant,Food,,,
514,CHICKEN BASKET,5058-B NICHOLSON LN.,,ROCKVILLE,20852,10/22/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"WONDER FRY, INC",Restaurant,Food,39.0457,-77.1039,"(39.0457, -77.1039)"
18858,CAF� 2020,4870 BOILING BROOK PKWY.,,ROCKVILLE,20852,06/19/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Pre-Opening - Environmental,"JON & KIM, INC (ELIZABETH JON)",,Food,39.046,-77.0996,"(39.046, -77.0996)"
1673,MONT. CO. PRE-RELEASE CENTER,11651 NEBEL ST.,,ROCKVILLE,20852,01/11/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,MONTGOMERY COUNTY GOV'T.,Institution,Food,39.0474,-77.1043,"(39.0474, -77.1043)"
11548,MEM SAHIB,4840 BOILING BROOK PKWY.,,ROCKVILLE,20852,12/09/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,SUDARSHAN TULI,Restaurant,Food,39.0461,-77.0992,"(39.0461, -77.0992)"
17387,WINDSOR ROOM @ RIDERWOOD VILLAGE,3120 GRACEFIELD RD.,,SILVER SPRING,20904,03/10/2016,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,RIDERWOOD VILLAGE/DINING SERVICES,Restaurant,Food,39.0483,-76.951,"(39.0483, -76.951)"
1673,MONT. CO. PRE-RELEASE CENTER,11651 NEBEL ST.,,ROCKVILLE,20852,02/06/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MONTGOMERY COUNTY GOV'T.,Institution,Food,39.0474,-77.1043,"(39.0474, -77.1043)"
19335,MOM'S PANTRY,12613 WISTERIA DRIVE,,GERMANTOWN,20874,03/11/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Reinspection,ABNER ESH,,Food,39.1709,-77.2626,"(39.1709, -77.2626)"
23108,VIGNOLA'S CATERING,11612 BOILING BROOK PKWY,,ROCKVILLE,20852,05/28/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"VIGNOLA GOURMET, LLC.",Restaurant,Food,39.047,-77.0996,"(39.047, -77.0996)"
28408,CRAVE,7101 DEMOCRACY BLVD,SPACE #FC,BETHESDA,20817,03/11/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CRAVE RESTAURANT BETHESDA LLC,Restaurant,Food,39.0221,-77.1471,"(39.0221, -77.1471)"
20143,PHO HOA BINH,11782 PARKLAWN DR,,ROCKVILLE,20852,06/12/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"SLK, INC.",Restaurant,Food,39.0482,-77.1024,"(39.0482, -77.1024)"
906,FAR EAST RESTAURANT,5055 NICHOLSON LN.,,ROCKVILLE,20852,07/20/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,S&S SUEN CO,,Food,39.0463,-77.1041,"(39.0463, -77.1041)"
2165,ROYAL DRAGON,4832 BOILING BROOK PKWY.,,ROCKVILLE,20852,02/03/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"ROYAL DRAGON, INC.",Restaurant,Food,39.046,-77.0989,"(39.046, -77.0989)"
20066,GROVE BEER & WINE,16825 CRABBS BRANCH WAY,,ROCKVILLE,20855,03/10/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,AIMIE CORPORATION,Carry Out,Food,39.1294,-77.1678,"(39.1294, -77.1678)"
20739,ANGELO'S PIZZA AND ITALIAN DELI,4011-A NORBECK RD.,,ROCKVILLE,20853,03/11/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,ANGELO'S ITALIAN SPECIALTY FOODS,Restaurant,Food,39.1098,-77.0778,"(39.1098, -77.0778)"
2583,VIE DE FRANCE #15B,5218 NICHOLSON LN.,,KENSINGTON,20895,12/04/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"VIE DE FRANCE BAKERY YAMAZAKI, INC.",Restaurant,Food,39.0433,-77.1059,"(39.0433, -77.1059)"
11537,SUBWAY,5286 RANDOLPH RD.,,ROCKVILLE,20852,10/02/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,SUKETU PATEL,,Food,39.0531,-77.1046,"(39.0531, -77.1046)"
19043,LIN'S CHINESE RESTAURANT,734 CLOVERLY ST.,,SILVER SPRING,20905,03/11/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,LING ZHI CHEN,Restaurant,Food,39.1095,-76.9954,"(39.1095, -76.9954)"
