business_id,name,address,city,state,postal_code,latitude,longitude,phone_number

4068010003,"ALLEN AND SON BBQ","6203 MILL HOUSE RD","CHAPEL HILL",NC,27514,,,+19199427576

4068010013,"BURGER KING 212","600 JONES FERRY RD","CARRBORO",NC,27510,,,+19199298395

4068010016,"CAROL WOODS CAFETERIA","WEAVER DAIRY ROAD","CHAPEL HILL",NC,27514,,,

4068010027,"COUNTRY JUNCTION","402 WEAVER ST","CARRBORO",NC,27510,,,+19199292462

4068010029,"CROOKS  CORNER","610 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199297643

4068010037,"FARM HOUSE","6004 MILLHOUSE ROAD","CHAPEL HILL",NC,27516,,,+19199295727

4068010040,"FOUR-ELEVEN-WEST","411 WEST FRANKLIN ST.","CHAPEL HILL",NC,27514,,,+19199672782

4068010046,"GILLISS  BBQ","6817 HWY 57 N","ROUGEMONT",NC,27572,,,+19197326106

4068010050,"THE AGORA AT GRANVILLE TOWERS","2100 GRANVILLE TOWERS SOUTH","CHAPEL HILL",NC,27514,,,+19193704599

4068010055,"HARDEES   1561","380 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197323592

4068010058,"HEAVENLY CATERING","1821 FORDHAM BLVD","CHAPEL HILL",NC,27514,,,+19199291722

4068010066,"HUNAM CHINESE RESTAURANT","790 MLK BLVD","CHAPEL HILL",NC,27514,,,+19199676133

4068010070,"JADE PALACE","103 A E MAIN ST","CARRBORO",NC,27510,,,

4068010073,"KENTUCKY FRIED CHICKEN","353 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197325590

4068010075,"LA RESIDENCE","202 WEST ROSEMARY ST","CHAPEL HILL",NC,27516,,,+19199672506

4068010083,"MARCELS  CATERING","1821 N. FORDHAM BLVD.","CHAPEL HILL",NC,27514,,,

4068010099,"BREAD & BUTTER","503 W ROSEMARY ST","CHAPEL HILL",NC,27514,,,+19199678818

4068010106,"PIZZA HUT","370 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197328084

4068010107,"PIZZA HUT - 1","109 S ESTES DRIVE","CHAPEL HILL",NC,27514,,,+19199427713

4068010125,"SPANKYS","101 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,

4068010127,"SQUIDS","1201 N. FORDHAM BLVD.","CHAPEL HILL",NC,27514,,,+19199290780

4068010131,"SUBWAY HILLSBOROUGH","167 MAYO ST","HILLSBOROUGH",NC,27278,,,+19196447827

4068010133,"SUTTONS DRUGSTORE INC","159 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,

4068010139,"THE CATERING COMPANY OF CHAPEL HILL","1322 NORTH FORDHAM BLVD","CHAPEL HILL",NC,27514,,,+19199294775

4068010152,"VILLAGE DINER","600 W KING ST","HILLSBOROUGH",NC,27278,,,+19197327032

4068010156,"WEAVER STREET MARKET 1 COOP","101 E WEAVER ST","CARRBORO",NC,27510,,,+19199290010

4068010158,"WENDYS  01353","100 SCARLETT DRIVE","CHAPEL HILL",NC,27514,,,+19199678624

4068010160,"SPEEDWAY LLC","1213 MLK BLVD.","CHAPEL HILL",NC,27514,,,+19199297855

4068010161,"YE OLDE WAFFLE SHOP","173 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,

4068010163,"MCDONALDS","501 HAMPTON POINTE BLVD.","HILLSBOROUGH",NC,27278,,,+19197327048

4068010165,"THE WEATHERVANE","201 S. ESTES DRIVE","CHAPEL HILL",NC,27514,,,+19199297133

4068010191,"LINDAS BAR AND GRILL","203 E FRANKLIN STREET","CHAPEL HILL",NC,27514,,,+19199336663

4068010196,"AMANTE GOURMET PIZZA","300 E MAIN STREET","CARRBORO",NC,27510,,,+19199293330

4068010202,"MERRITTS  MARKET","1009 S COLUMBIA STREET","CHAPEL HILL",NC,27514,,,+19199424897

4068010217,"STARPOINT CONVENIENCE GRILL","1950 SOUTH FORDHAM BLVD.","CHAPEL HILL",NC,27514,,,+19199332893

4068010243,"ARMADILLO GRILL","120 E MAIN STREET","CARRBORO",NC,27510,,,+19199294669

4068010250,"BREADMENS","324 W ROSEMARY STREET","CHAPEL HILL",NC,27516,,,+19199677110

4068010265,"HARDEES   1421","1800 CHAPEL HILL DURHAM BLVD","CHAPEL HILL",NC,27514,,,+19199298516

4068010269,"PANTANA  BOBS","300 W ROSEMARY ST","CHAPEL HILL",NC,27514,,,+19199427575

4068010282,"MCDONALDS 5241","400 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197329898

4068010286,"WALTS GRILL","111 S MERRITT MILL RD","CHAPEL HILL",NC,27516,,,+19199331744

4068010288,"CAROLINA BREWERY","460 W FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199421800

4068010289,"SARATOGA GRILL","108 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197322214

4068010291,"THAI PALACE","1206 RALEIGH ROAD","CHAPEL HILL",NC,27514,,,+19199675805

4068010294,"JOE VAN GOGH","1129 WEAVER DAIRY RD","CHAPEL HILL",NC,27514,,,+19199672450

4068010298,"BANDIDOS MEXICAN CAFE","159 1/2 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,

4068010314,"THE LOOP PIZZA GRILL","1800 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199697112

4068010323,"MEDITERRANEAN DELI","410 W FRANKLIN STREET","CHAPEL HILL",NC,27514,,,+19199672666

4068010326,"LIBBYS TOO","4910 HILLSBOROUGH ROAD","DURHAM",NC,27705,,,

4068010332,"HARRIS TEETER DELI 117","2110 SOUTH ESTES DRIVE","CHAPEL HILL",NC,27514,,,+19199335700

4068010340,"MONTERREY MEXICAN","237 S ELLIOTT RD","CHAPEL HILL",NC,27514,,,

4068010349,"ELMOS DINER","200 N GREENSBORO STREET","CARRBORO",NC,27510,,,+19199292909

4068010351,"TOP OF THE HILL","100 E FRANKLIN ST","CHAPEL HILL",NC,27515,,,+19199298676

4068010361,"BANDIDOS MEXICAN CAFE","122 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197328662

4068010366,"WHOLE FOODS 10008","81 S ELLIOTT RD","CHAPEL HILL",NC,27514,,,+19199681983

4068010369,"CARRBURRITOS","711 W ROSEMARY STREET","CARRBORO",NC,27510,,,+19199338226

4068010371,"STARBUCKS COFFEE   #8245","103 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,

4068010385,"AKAI HANA JAPANESE RESTAURANT","206 W MAIN ST","CARRBORO",NC,27510,,,+19199426848

4068010390,"VESPA","306 W FRANKLIN STREET","CHAPEL HILL",NC,27516,,,+19199696600

4068010394,"MARIAKAKIS FINE FOODS","1 MARIAKAKIS PLAZA","CHAPEL HILL",NC,27514,,,

4068010401,"HUEYS RESTAURANT","7601 HWY 70 EAST","MEBANE",NC,27302,,,+19195636731

4068010407,"ACME FOOD AND BEVERAGE","110 E MAIN STREET","CARRBORO",NC,27510,,,+19199292263

4068010410,"LA HACIENDA","1813 CHAPEL HILL BLVD","CHAPEL HILL",NC,27514,,,+19199670207

4068010433,"TYLERS RESTAURANT AND TAP ROOM","102 E MAIN STREET","CARRBORO",NC,27510,,,+19199296881

4068010434,"THE ROOT CELLAR CAFE CATERING","750 MLK BLVD","CHAPEL HILL",NC,27514,,,

4068010438,"SUBWAY #5709","1129 WEAVER DAIRY RD","CHAPEL HILL",NC,27514,,,+19199677771

4068010440,"SPOTTED DOG RESTAURANT AND BAR","111 E MAIN STREET","CARRBORO",NC,27510,,,+19199331117

4068010447,"MAMA DIPS KITCHEN","408 WEST ROSEMARY STREET","CHAPEL HILL",NC,27516,,,+19199425837

4068010448,"ANNA MARIA'S  PIZZERIA","104 U HWY 54 BYPASS/CARRBORO PLAZA","CARRBORO",NC,27510,,,+19199291877

4068010460,"COSMIC CANTINA","128 E FRANKLIN STREET","CHAPEL HILL",NC,27514,,,+19199603955

4068010476,"ELAINES ON FRANKLIN","455 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199602770

4068010490,"BOJANGLES #26","330 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19192453720

4068010493,"IRON SKILLET #29","501 BUCKHORN RD","MEBANE",NC,27302,,,+19193047475

4068010495,"ITALIAN PIZZERIA 3","508 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199684671

4068010516,"ARBYS","102-A NC HWY. 54-WEST","CARRBORO",NC,27510,,,+19199288565

4068010519,"BOSTON MARKET  #0414","1800 EAST FRANKLIN STREET","CHAPEL HILL",NC,27514,,,

4068010521,"SUBWAY 920","602 JONES FERRY ROAD","CARRBORO",NC,27510,,,+19199292288

4068010527,"KURAMA","105 N COLUMBIA STREET","CHAPEL HILL",NC,27514,,,+19199684747

4068010531,"CAFE DRIADE","1215 A E FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199422333

4068010548,"K&W CAFETERIA #12","201 SOUTH ESTES DRIVE","CHAPEL HILL",NC,27514,,,+19199427809

4068010555,"MCDONALDS","1748 N FORDHAM BLVD","CHAPEL HILL",NC,27514,,,+19199420000

4068010556,"LANTERN  RESTAURANT","423 WEST FRANKLIN STREET","CHAPEL HILL",NC,27516,,,+19199698846

4068010561,"BRIXX  PIZZA","501 MEADOWMONT VILLAGE CIRCL","CHAPEL HILL",NC,27516,,,+19199291942

4068010569,"ALFREDOS PIZZA VILLA","201 S ESTES DR","CHAPEL HILL",NC,27514,,,

4068010570,"WEAVER STREET MARKET 2 COOP","716 MARKET STREET","CHAPEL HILL",NC,27516,,,+19199292009

4068010573,"FIESTA GRILL","3307 HWY. 54-W","CHAPEL HILL",NC,27516,,,+19199289002

4068010580,"FOUST CORNER MARKET","509 EAST CENTER STREET","MEBANE",NC,27302,,,+19195632002

4068010581,"JAPAN EXPRESS","261 SOUTH ELLIOTT ROAD","CHAPEL HILL",NC,27514,,,+19199289600

4068010583,"CAFE CAROLINA & BAKERY 7254","601 MEADOWMONT VILLAGE CIRCL","CHAPEL HILL",NC,27517,,,+19199458811

4068010588,"LOS POTRILLOS","220 W ROSEMARY STREET","CHAPEL HILL",NC,27516,,,+19199324301

4068010598,"SAGE","1129 WEAVER DAIRY ROAD","CHAPEL HILL",NC,27514,,,

4068010607,"JIMMY JOHNS","306 C WEST FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199687827

4068010612,"OISHII JAPANESE","1129 WEAVER DAIRY RD","CHAPEL HILL",NC,27514,,,+19199327002

4068010613,"PAZZO","700 MARKET STREET","CHAPEL HILL",NC,27516,,,+19199299984

4068010620,"SUBWAY","129 N. SCOTSWOOD BLVD.","HILLSBOROUGH",NC,27278,,,+19197323364

4068010623,"WOODEN NICKEL PUB","105 N CHURTON ST","HILLSBOROUGH",NC,27278,,,+19196432223

4068010624,"ALPINE BAGEL CAFE","209 SOUTH ROAD","CHAPEL HILL",NC,27599,,,

4068010636,"SUBWAY","525 HAMPTON BLVD.  SUITE 5","HILLSBOROUGH",NC,27278,,,

4068010642,"SALS  PIZZA","2811 HOMESTEAD RD","CHAPEL HILL",NC,27514,,,+19199325120

4068010655,"VINNYS  ITALIAN GRILL & PIZZERIA","133 N. SCOTSWOOD BLVD.","HILLSBOROUGH",NC,27278,,,+19197329219

4068010658,"TOLEDOS  TAQUERIA & CARNICERIA","506 JONES FERRY ROAD","CARRBORO",NC,27510,,,+19199691556

4068010659,"CHINA WOK 1","104 HWY. 54 BY PASS","CARRBORO",NC,27510,,,+19199299988

4068010663,"CHICK FIL A #00400","201 S ESTES DRIVE","CHAPEL HILL",NC,27514,,,+19199680126

4068010673,"ANNA MARIAS","670 N CHURTON STREET","HILLSBOROUGH",NC,27278,,,+19192451900

4068010675,"RASA MALAYSIA","410 MARKET STREET","CHAPEL HILL",NC,27516,,,+19199331188

4068010677,"BIN 54","1201-M RALEIGH ROAD","CHAPEL HILL",NC,27516,,,+19199691155

4068010680,"JUJUBE","1201-L RALEIGH ROAD","CHAPEL HILL",NC,27514,,,+19199691131

4068010683,"OPEN EYE CAFE","101 S GREENSBORO ST","CARRBORO",NC,27510,,,

4068010698,"WENDYS #1","375 S. CHURTON STREET","HILLSBOROUGH",NC,27278,,,+19197326555

4068010699,"MILL TOWN","307 EAST MAIN STREET","CARRBORO",NC,27510,,,+19199682460

4068010700,"BSKIS","147 EAST FRANKLIN STREET","CHAPEL HILL",NC,27514,,,+19199699727

4068010701,"WINGMAN","104-S NC HWY. 54-W","CARRBORO",NC,27510,,,+19199289200

4068010702,"PANCIUTO","110 SOUTH CHURTON STREET","HILLSBOROUGH",NC,27278,,,+19197326820

4068010704,"POPS  PIZZERIA","1822 MARTIN LUTHER KING BLVD","CHAPEL HILL",NC,27514,,,+19199321040

4068010705,"LIME & BASIL","200 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199675055

4068010708,"RED LOTUS","239 E ELLIOTT RD","CHAPEL HILL",NC,27514,,,+19194526950

4068010713,"CHINA WOK 2","1129 WEAVER DAIRY ROAD","CHAPEL HILL",NC,27514,,,+19199426388

4068010716,"AQUEDUCT CONFERENCE CENTER","1620 MT. CARMEL CHURCH ROAD","CHAPEL HILL",NC,27517,,,+19199335557

4068010722,"RESIDENCE INN","101 ERWIN ROAD","CHAPEL HILL",NC,27514,,,+19199334848

4068010724,"GLASSHALFULL","106A S GREENSBORO ST  S","CARRBORO",NC,27510,,,+19197944107

4068010726,"TIME OUT TAVERN","1301 N. FORDHAM BLVD.","CHAPEL HILL",NC,27514,,,+19109288409

4068010730,"ROBERT & PEARL SEYMOUR CENTER","2551 HOMESTEAD ROAD","CHAPEL HILL",NC,27516,,,+19199682070

4068010734,"CHIPOTLE MEXICAN GRILL","301 WEST FRANKLIN STREET","CHAPEL HILL",NC,27516,,,+19199422091

4068010735,"LA PLACE","111 NORTH CHURTON STREET","HILLSBOROUGH",NC,27278,,,+19192450040

4068010738,"TALULLAS","456 W FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199331177

4068010749,"SUGARLAND","140 EAST FRANKLIN STREET","CHAPEL HILL",NC,27514,,,+19199292100

4068010753,"BRUEGGERS BAGEL BAKERY","1800 EAST FRANKLIN STREET","CHAPEL HILL",NC,27514,,,+19199295524

4068010754,"HOLIDAY INN EXPRESS","202 CARDINAL DRIVE","HILLSBOROUGH",NC,27278,,,+19196447997

4068010755,"I LOVE NY PIZZA","106 WEST FRANKLIN STREET","CHAPEL HILL",NC,27516,,,+19199684224

