"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"

"000D0B7A-3048-98E7-046FBA1DC52B6D55","SUBWAY #12460","706 W PEACE ST ","RALEIGH","NC","27605","","","19198340605"

"00365192-A8F6-87E1-4D85FECDC569C6AB","CHECKERS PIZZA","2810 HILLSBOROUGH ST ","RALEIGH","NC","27607","","","19198326522"

"003B5816-EB2D-98FB-BB9A47422343117B","AVIATOR TASTING ROOM","209 TECHNOLOGY PARK  LN ","FUQUAY VARINA","NC","27526","","","19195672337"

"0046D7E0-5056-A20B-FA728F89DE72F101","TAMARIND","8531-109 BRIER CREEK PKY ","RALEIGH","NC","27617","","","19194063473"

"004B7CC3-9291-1A30-0887F2F9A7C9FEE5","Johnny's Pizza","1763 W Williams ST","APEX","NC","27523","","","111111111111111"

"0058F839-5056-A20B-FA849E6EB517DE0E","THE FALCON'S NEST AT ST. AUGUSTINE","1315 OAKWOOD AVE ","RALEIGH","NC","27601","","","19198217646"

"008A6B72-E823-5930-B24407ED48C781C8","ELEVATION BURGER","8301 BRIER CREEK  PKY ","RALEIGH","NC","27617","","","19199992774"

"00BF7B62-5056-A20B-FADB5F6951EC30EC","MCCONNELL GOLF LEASING, LLC","1527 TRYON RD ","RALEIGH","NC","27603","","","19197723131"

"00CE5345-0311-776C-22695D158EEEA36E","LATIN QUARTERS","7335 SIX FORKS  RD ","RALEIGH","NC","27615","","","19199008333"

"00D18CF6-A9E0-C802-4912244307982DE1","DUNKIN DONUTS/BASKIN ROBBINS #331785","7137 KNIGHTDALE BLVD ","KNIGHTDALE","NC","27545","","","19192179603"

"00FC2D97-FE0A-549D-150427A6BFD57253","CLARK DINING HALL","221 JENSEN  DR ","RALEIGH","NC","27695","","","19195134680"

"00FF7E07-D5C4-3000-995FAB448FED097D","McKimmon Corner Café","1101 GORMAN ST ","RALEIGH","NC","27695","","","19195134546"

"0101A22A-D384-15BD-CA44676FD691DEA0","PIZZA HUT #101","3691 NEW BERN  AVE ","RALEIGH","NC","27610","","","19199008096"

"010EBE88-D265-AB66-7F9392ED1ABEA2FC","DAILY PLANET CAFE","11   W JONES ST ","RALEIGH","NC","27601","","","19197078060"

"011A703F-D8CE-C53D-62B3073DF4809ED4","GROCERY BOY JR","1912 W GARNER RD ","RALEIGH","NC","27529","","","19197725018"

"011EC6C8-EDD1-F08B-9F20505CA13E6374","FITZGERALD'S SEAFOOD RESTAURANT #1","308 SOUTHTOWN DR ","ROLESVILLE","NC","27571","","","19195623474"

