"business_id","score","date","description","type"

"75BFDC7E-E8CC-3490-B868DAE86D0DE58C","100","20121024","","routine"

"011A703F-D8CE-C53D-62B3073DF4809ED4","100","20121025","","routine"

"336355FE-0EBF-2BD9-89C16910AA2049DC","100","20121030","","routine"

"500941","100","20121106","","routine"

"23D6E1F8-DFC2-9B9C-55422A411A405AF7","100","20121109","","routine"

"D804EFCA-5C21-C187-DF5E692B11ACBB89","100","20121127","","routine"

"273DB447-C86B-AA84-1B080AA333406F5D","100","20121129","","routine"

"7C9D87E6-3048-9838-FCD19193BA4A57AB","100","20121129","","routine"

"899EBB8A-A096-0E13-14A120299C9C87F1","100","20121203","","routine"

"A745B361-DC2C-1BB6-B05148AC9C86D656","100","20121217","","routine"

"8334C411-15A0-1497-9928AA005B3081EC","100","20121221","","routine"

"D61C7A82-D602-1442-8732136A791D4881","100","20121221","","routine"

"92E05BFE-BF2A-61AD-FE3B51C1D0D02A9B","100","20121231","","routine"

"6584C5A9-9786-3CEE-206905DA6B5C268E","100","20130104","","routine"

"AE738462-E648-427C-1B3797843EB8682B","100","20130110","","routine"

"B58890C3-0C88-594A-267787C060E0791A","100","20130110","","routine"

"09C7AEAE-E078-149F-E8394F82D33BE4FC","100","20130115","","routine"

"C0988CE6-9161-6366-98A6433D8793971A","100","20130115","","routine"

"498237","100","20130123","","routine"

"F23D2E6D-161D-C3B6-667452B9720DE87B","100","20130125","","routine"

"501118","100","20130128","","routine"

"655D882B-BA09-34CD-22959FF0F746A8EF","100","20130412","","routine"

"7CEBE9B3-1422-201B-19230D9C2A35046B","100","20130412","","routine"

"1D0424B9-3048-983B-26BBAD475BC1C6F6","100","20130415","","routine"

"0F37B006-D4E2-7054-55DA2C161E83A4F1","100","20130416","","routine"

"8D71C1CC-C592-2A12-C5337491D090F761","100","20130416","","routine"

"BCF6B620-00AE-23A3-59FA133E3264B3DA","100","20130418","","routine"

"FC6BAD5A-9117-0FA0-0DA9EA96A156E1B0","100","20130419","","routine"

"5DCA9475-15D1-158B-12D1136DE7725139","100","20130430","","routine"

