"business_id","date","code","description"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20130208","6-501.19","Bathrooms not clean and/or supplied"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20130208","7-209.11","Toxic substances not properly identified, stored, & used"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","2-102.12","Manager not present , or manager lacks required food safety training"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","2-103.11 (M)","No approved employee health policy to prevent sick employees from working"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","2-402.11","Personal Hygiene issues"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","3-302.11","Food not stored safely to prevent contamination"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","3-302.12","Food not properly labelled; original container"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","3-501.15","Proper cooling methods not used; adequate equipment for temperature control"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","3-501.16(A)(1)","Improper hot holding temperatures"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","3-501.19","Food stored for too long without temperature control, and procedure"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","4-402.11","Equipment, food & non-food-contact surfaces not cleanable and safe"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","5-202.13","Improper plumbing"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","6-201.12","Floors, walls and ceilings not cleaned and maintained"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","6-501.113","Floors, walls and ceilings not cleaned and maintained"

"00365192-A8F6-87E1-4D85FECDC569C6AB","20131107","7-204.11","Toxic substances not properly identified, stored, & used"

"003B5816-EB2D-98FB-BB9A47422343117B","20131010","2-103.11 (M)","No approved employee health policy to prevent sick employees from working"

"003B5816-EB2D-98FB-BB9A47422343117B","20131010","2-201.11 (D )and (F)","Sick employee present or not properly kept from working"

"003B5816-EB2D-98FB-BB9A47422343117B","20131010","2-401.11","Improper eating, tasting, drinking, or tobacco use"

"003B5816-EB2D-98FB-BB9A47422343117B","20131010","4-101.19","Equipment, food & non-food-contact surfaces not cleanable and safe"

