permit_number;facility_id;PE;restaurant_name;location_name;address;latitude;longitude;city_id;city_name;zip_code;nciaa;plan_review;record_status;current_grade;current_demerits;date_current;previous_grade;date_previous;search_text;

PR0000002;FA0002677;1006;McDonald's #3549 D HOTEL;D HOTEL - McDonalds #3549;301 Fremont St;36.16939030;-115.14308440;10;Las Vegas;89101-5600;N;;01;A;0;2015-11-24 00:00:00;A;2015-11-24 00:00:00;McDonald's #3549 D HOTEL McDonalds 3549 D HOTEL;

PR0000003;FA0002678;1008;McDonald's #5551;McDonalds Corporation;4400 E Charleston Blvd;36.15943950;-115.07975050;10;Las Vegas;89104-5506;Y;;01;A;3;2016-01-20 00:00:00;A;2016-01-20 00:00:00;McDonald's #5551 McDonalds 5551;

PR0000004;FA0002679;1007;McDonald's #7675;McDonalds #7675 Rancho & Cheyenne;3175 N Rancho Dr;36.21674140;-115.21239140;10;Las Vegas;89130-3302;Y;;01;A;8;2016-03-22 00:00:00;A;2016-03-22 00:00:00;McDonald's #7675 McDonalds 7675;

PR0000005;FA0002680;1007;McDonald's 2922;McDonalds 2922;2020 N Rainbow Blvd;36.19639820;-115.24076990;10;Las Vegas;89108-7049;Y;;01;A;0;2015-12-08 00:00:00;A;2015-12-08 00:00:00;McDonald's 2922 McDonalds 2922;

PR0000006;FA0002681;1006;McDonald's #3153 Plaza;Plaza Hotel - McDonalds;1 S Main St;36.17217560;-115.14682940;10;Las Vegas;89101-6370;Y;;01;A;6;2016-02-11 00:00:00;A;2016-02-11 00:00:00;McDonald's #3153 Plaza McDonalds 3153 Plaza;

PR0000007;FA0002682;1008;McDonald's Restaurant 31454;McDonald's Restaurant 31454;10590 Southern Highlands Pkwy;35.99723580;-115.20693320;10;Las Vegas;89141-4373;Y;;01;A;0;2016-05-10 00:00:00;A;2016-05-10 00:00:00;McDonald's Restaurant 31454 McDonalds Restaurant 31454;

PR0000009;FA0002684;1016;Larry's Villa Bar & Lounge;Larrys Villa;2401 W Bonanza Rd;36.17664780;-115.17409010;10;Las Vegas;89106-4774;N;;01;A;3;2016-04-14 00:00:00;A;2016-04-14 00:00:00;Larry's Villa Bar & Lounge Larrys Villa Bar  Lounge;

PR0000010;FA0002684;1009;Larry's Villa Snack Bar;Larrys Villa;2401 W Bonanza Rd;36.17664780;-115.17409010;10;Las Vegas;89106-4774;N;;01;A;3;2016-04-14 00:00:00;A;2016-04-14 00:00:00;Larry's Villa Snack Bar Larrys Villa Snack Bar;

PR0000011;FA0002685;1016;PEPPERMILL LOUNGE;PEPPERMILL;2985 S Las Vegas Blvd;36.13361600;-115.16299800;10;Las Vegas;89109-1930;Y;;01;A;3;2016-02-23 00:00:00;A;2016-02-23 00:00:00;PEPPERMILL LOUNGE PEPPERMILL LOUNGE;

PR0000012;FA0002685;1003;PEPPERMILL RESTAURANT;PEPPERMILL;2985 S Las Vegas Blvd;36.13361600;-115.16299800;10;Las Vegas;89109-1930;Y;;01;A;3;2016-02-23 00:00:00;A;2016-02-23 00:00:00;PEPPERMILL RESTAURANT PEPPERMILL RESTAURANT;

PR0000013;FA0002685;1028;PEPPERMILL COOK LINE;PEPPERMILL;2985 S Las Vegas Blvd;36.13361600;-115.16299800;10;Las Vegas;89109-1930;Y;;01;A;6;2016-02-23 00:00:00;A;2016-02-23 00:00:00;PEPPERMILL COOK LINE PEPPERMILL COOK LINE;

PR0000014;FA0002686;1003;MARIE CALLENDERS RESTAURANT;MARIE CALLENDERS RESTAURANT AND BAKERY;600 E Sahara Ave;36.14435400;-115.14633230;10;Las Vegas;89104-2967;Y;;01;A;3;2016-04-07 00:00:00;A;2016-04-07 00:00:00;MARIE CALLENDERS RESTAURANT MARIE CALLENDERS RESTAURANT;

