serial_number;permit_number;facility_id;inspection_date;inspection_time;employee_id;inspection_type_id;inspection_demerits;inspection_grade;permit_status;inspection_result;violations;record_updated;

DA0000821;PR0004283;FA0003750;2010-07-19 00:00:00;2010-07-19 15:40:00;EE7000338;910;;;;Unspecified;;2013-02-21 22:26:12;

DA0000822;PR0004283;FA0003750;2010-07-19 00:00:00;2010-07-19 16:00:00;EE7000338;929;0;O;;Approved;;2013-02-21 22:26:12;

DA0001095;PR0000411;FA0002433;1994-04-15 00:00:00;1994-04-15 08:10:00;EE7000347;929;4;A;;Unspecified;;2013-02-21 22:26:12;

DA0001096;PR0000411;FA0002433;1994-11-02 00:00:00;1994-11-02 12:10:00;EE7000398;916;6;A;;Unspecified;8,36;2013-02-21 22:26:12;

DA0001097;PR0000411;FA0002433;1995-04-24 00:00:00;1995-04-24 15:30:00;EE7000535;916;8;A;;Unspecified;4,38;2013-02-21 22:26:12;

DA0001098;PR0000411;FA0002433;1995-10-20 00:00:00;1995-10-20 16:05:00;EE7000535;916;12;A;;Unspecified;12,30;2013-02-21 22:26:12;

DA0001099;PR0000411;FA0002433;1995-10-23 00:00:00;1995-10-23 15:55:00;EE7000535;604;0;A;;Complaint Invalid/Unsubstantiated;;2013-02-21 22:26:12;

DA0001100;PR0000411;FA0002433;1996-04-12 00:00:00;1996-04-12 15:55:00;EE7000535;916;10;A;;Unspecified;18,29,30,36;2013-02-21 22:26:12;

DA0001101;PR0000411;FA0002433;1996-10-07 00:00:00;1996-10-07 13:35:00;EE7000535;916;13;B;;"B" Downgrade;13,14,21,31,111;2013-02-21 22:26:12;

DA0001102;PR0000411;FA0002433;1996-10-28 00:00:00;1996-10-28 12:45:00;EE7000535;916;0;A;;Compliant;;2013-02-21 22:26:12;

DA0001105;PR0000411;FA0002433;1997-04-18 00:00:00;1997-04-18 15:20:00;EE7000325;916;4;A;;Compliant;22,27,30,31;2013-02-21 22:26:12;

