CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40786921,BOSTON MARKET,QUEENS,5001,QUEENS BOULEVARD,11377,7187793700,American,03/18/2013,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,5,A,03/18/2013,05/21/2016,Cycle Inspection / Re-inspection
41042200,MAMA'S BAR,MANHATTAN,3234,AVENUE B,10009,2127775729,American,01/02/2015,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,05/21/2016,Smoke-Free Air Act / Initial Inspection
41501454,DUNKIN' DONUTS,QUEENS,2412,STEINWAY STREET,11103,7182048408,Donuts,05/20/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,05/20/2014,05/21/2016,Cycle Inspection / Initial Inspection
41545769,DELICIOUS BAKERY,MANHATTAN,139,HESTER STREET,10002,2129252471,Bakery,01/14/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,B,01/14/2014,05/21/2016,Cycle Inspection / Re-inspection
41303793,LITTLE CAESARS,BRONX,623,EAST TREMONT AVENUE,10457,3472715300,Pizza,06/12/2014,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9,A,06/12/2014,05/21/2016,Cycle Inspection / Initial Inspection
40483694,MINSKOFF THEATER,MANHATTAN,200,WEST   45 STREET,10036,2123544624,American,05/19/2015,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,05/21/2016,Smoke-Free Air Act / Initial Inspection
41083366,TRINI ROTI HOUSE AND BAKERY,BROOKLYN,1065,RUTLAND ROAD,11212,7187715041,Caribbean,01/27/2016,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,13,A,01/27/2016,05/21/2016,Cycle Inspection / Re-inspection
40402428,DOWN TOWN ASSOCIATION,MANHATTAN,60,PINE STREET,10005,2124221982,American,04/11/2014,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,53,,,05/21/2016,Cycle Inspection / Initial Inspection
41046488,FRESH SALT,MANHATTAN,146,BEEKMAN STREET,10038,2129620053,American,03/03/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,03/03/2014,05/21/2016,Cycle Inspection / Initial Inspection
41225392,BAYARD'S ALEHOUSE,MANHATTAN,533,HUDSON STREET,10014,2129890313,American,02/05/2015,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,26,,,05/21/2016,Cycle Inspection / Initial Inspection
