FACILITY,ADDRESS,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
"COMO RESTAURANT, INC.               ","2220 PINE AVENUE,  NIAGARA FALLS",08/18/2010,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,3,0,7,Niagara County,NIAGARA,F243      ,2220 PINE AVENUE,NIAGARA FALLS,14301    ,310200,NIAGARA FALLS,"COMO RESTAURANT, INC.",07/31/2016,Food Service Establishment,Restaurant/Catering Operation,,,COLUCCI,DOMINIC,285874,Inspection,"
5B--Found 3 roasts, all >6lbs in walk-in freezer @ ~1:30pm. (62 degrees, 61 degrees, & 49 degrees)  According to cook, the meat was cooked this morning and placed in the walk-in freezer to cool at ~8am.  Inspector waited until 2:40pm and temped the meats again where they all measured <45 degrees.  
Corrected
5C--46oz box of Sahara Burst Tomato Juice found behind bar in basement opened and unrefrigerated. Manufacturer's guidelines are to refrigerate after opening.  Juice was voluntarily discarded by bartender. Corrected

6A--Chicken noodle soup found @ 135 degrees and Italian sausage in sauce found @ 125 degrees in hot table @ deli counter.  Both temps taken with the inspector's calibrated FTT @ ~12:30pm.  Deli cook stated that both products were placed in the hot table <1 hour ago. Both products were reheated to >165 degrees and placed back in hot table to be held >140 degrees until served. Corrected
8A--Food left uncovered in rear walk-in freezer and freezer near butcher area with ice accumulation on food. 
10B--Salad/sandwich station in kitchen has paper towels lining shelving and lining cooler shelving.
 
11A--Hot temp dish machine rinse cycle is not reaching >=170 degrees. Ran 2 strips below through machine a total of 3 times and took a temp with my calibrated FTT that measured the rinse water at 155 degrees. 
11B--Salad/sandwich station in kitchen has wiping cloth found on countertop, not in sanitizer between uses. 
15A--Ceiling above dish area has mold growth. 
15A--Cooler #5 has rusty walls and multiple areas at the bar have bare wood pallets. None of these surfaces are smooth and easily cleanable. 

15B--Walk-in cooler #3 has dust build-up on exhaust fan covers and on rack above shelving. 






",NY,43.095159,-79.035149
Dunkin Donuts                       ,"3336 WEST Genesee  STREET,  Syracuse",01/13/2016,8E,Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures,Not Critical Violation,1,0,5,Onondaga County,ONONDAGA,3413      ,3336 WEST Genesee  STREET,Syracuse,13219    ,335600,GEDDES,Dunkin Donuts,01/31/2017,Food Service Establishment,Restaurant,,"Abigail Donuts, LLC",Cafua,David,540632,Inspection,Establishment has probe/metal-stem type thermometers.  Work orders submitted for floors and for walk-in cooler (freezing dairy products).,NY,43.048565,-76.228298
SONNY'S PIZZA                       ,"215 LARKIN  DRIVE,  MONROE",07/29/2013,8E,Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures,Not Critical Violation,0,0,3,Orange County,ORANGE,604422    ,215 LARKIN  DRIVE,MONROE,10950    ,356000,MONROE,Sonny's Pizza,06/30/2016,Food Service Establishment,Food Service Establishment,,Peja Pizza Corp.,Vrecas,Alex,603141,Inspection,,NY,41.319506,-74.154794
LAKE GEORGE FAMILY RESTAURANT       ,"2143 ROUTE 9,  LAKE GEORGE",09/02/2015,5B,Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.,Critical Violation,2,0,2,Glens Falls District Office,WARREN,56-AB58   ,2143 ROUTE 9  ,LAKE GEORGE,12845    ,565100,LAKE GEORGE,LAKE GEORGE FAMILY RESTAURANT,09/30/2016,Food Service Establishment,Food Service Establishment,,,LAROCK,JONATHAN ,872201,Inspection,"A temperature log will be required for measuring and documenting the temperatures every two hours of hot & cold items on the salad bar any day and time that it is being used. This documentation log will be made available for review during any inspection.  No email available, this report will be mailed.",NY,,
JOE'S DELI                          ,"119 4TH STREET,  NEW ROCHELLE",01/26/2010,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,10,Westchester County,WESTCHESTER,01-C327   ,119 4TH STREET,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,JOE'S DELI,09/30/2016,Food Service Establishment,Delicatessen,JOE'S DELI,"JOE'S DELI AND CATERERS OF NEW ROCHELLE, INC.",JOE'S DELI AND CATERERS OF NEW, ,428063,Inspection,,NY,40.911414,-73.796794
SINAPI'S PIZZA RUSTICA              ,"5 NORM AVENUE,  BEDFORD HILLS",03/10/2016,16,"Miscellaneous, Economic Violation, Choking Poster, Training.",Not Critical Violation,3,0,15,Westchester County,WESTCHESTER,01-N088-B ,5 NORM AVENUE,BEDFORD HILLS,10507    ,595000,BEDFORD,SINAPI'S PIZZA RUSTICA,05/31/2016,Food Service Establishment,Food Service Establishment,,"NORM AVENUE PIZZA, INC.","NORM AVENUE PIZZA, INC.", ,770770,Inspection,Reinspection for compliance on 3/15/2016.,NY,41.223388,-73.715244
"MEDINA THEATRE COMPANY, INC. , THE  ","601-611 MAIN STREET,  MEDINA",12/29/2014,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,2,0,14,Orleans County,ORLEANS,36-0355   ,601-611 MAIN STREET,MEDINA,14103    ,362200,RIDGEWAY,"MEDINA THEATRE COMPANY, INC. , THE",04/08/2016,Food Service Establishment,Commissary,,,CARDONE,MICHAEL,821470,Inspection,"Kasey Carpenter was present during inspection. She doesn't have food protection training. She stated that she was just cleaning facility. Waiting on application, fee, and insurance documentation. Joe Cardone arrived at the end of inspection; findings were discussed with him. He will contact us to schedule re-inspection. Provided Joe with additional copy of application, fee schedule.",NY,,
RED HOOK POOL CONCESSION            ,"99 LINDEN  AVENUE,  RED HOOK",07/10/2007,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,3,0,2,Dutchess County,DUTCHESS,4003626   ,99 LINDEN  AVENUE,RED HOOK,12571    ,136400,RED HOOK,RED HOOK POOL CONCESSION,09/15/2015,Food Service Establishment,Restaurant,,RECREATIONAL PARK OF RED HOOK POOL INC,CAVOTTI,KATE,275994,Re-Inspection,"Raw hamburger patties stored on shelf above salads in refrigerator.
- Patties relocated to bottom drawer of refrigerator

2 cooked chicken breasts, brought from owner's main restaurant in town, on door of refrigerator at 58 degrees F., brought here at noon.
- Chicken discarded",NY,,
MELINO'S PUB                        ,"749 COLUMBIA STREET,  HUDSON",12/20/2013,None,,Not Critical Violation,0,0,0,Columbia County,COLUMBIA,10-AB46   , 749 COLUMBIA STREET  ,HUDSON,12534    ,100100,HUDSON,MELINO'S PUB,03/31/2017,Food Service Establishment,Tavern,,,MELINO,ANTHONY,270044,Inspection,,NY,42.247331,-73.780645
DENNY'S RESTAURANT #8195            ,"1283 ROUTE 300,  NEWBURGH",12/30/2015,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,1,0,3,Orange County,ORANGE,631804    ,1283 ROUTE 300  ,NEWBURGH,12550    ,356300,NEWBURGH,Denny's Restaurant #8195           ,10/31/2016,Food Service Establishment,Food Service Establishment,,"Gill's Newburgh, Inc.",Gill,Hardev,602717,Inspection,,NY,41.50739,-74.068218
