FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
DJ's on the Blvd.                   ,"3010 Erie Boulevard East,  Syracuse",05/08/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3010 Erie Boulevard East  ,Syracuse,13224    ,330100,SYRACUSE,DJ's on the Blvd.,01/31/2017,,"DJ's on the Blvd., Inc.",Whittles,Dean,798328,Inspection,,NY,"(43.055278, -76.086025)"
PORTVILLE DRIVE-IN                  ,"1060 OLEAN-PORTVILLE ROAD,  PORTVILLE",05/05/2015,"Item 14A-   Insects, rodents present; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",0,0,3,Food Service Establishment - Restaurant,Cattaraugus County,CATTARAUGUS,1060 OLEAN-PORTVILLE ROAD,PORTVILLE,14770    ,047700,PORTVILLE,PORTVILLE DRIVE-IN,09/30/2016,,STATE ROAD DRIVE-IN CORPORATION,BORDONARO,CHARLES,258885,Inspection,,NY,"(42.04844, -78.35229)"
DUNKIN DONUTS                       ,"741 LAKE AVENUE,  ROCHESTER",05/12/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; ",0,0,3,Food Service Establishment - Restaurant,Monroe County,MONROE,741 LAKE AVENUE,ROCHESTER,14613    ,270104,ROCHESTER,DUNKIN DONUTS,12/31/2016,,,,,669139,Inspection,,NY,"(43.178534, -77.631626)"
"BLACKHEAD MOUNTAIN LODGE, INC.      ","75 CROWS NEST ROAD,  ROUND TOP",05/14/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Oneonta District Office,GREENE,75 CROWS NEST ROAD,ROUND TOP,12473    ,195200,CAIRO,Blackhead Mountain Lodge Food Service,02/28/2018,,,,,350287,Inspection,This is the inspection report for both the clubhouse and the main food service. No violations noted. Clubhouse is in the process of being opened for the season and vent filters are going to be cleaned soon.,NY,"(42.264535, -74.05179)"
PEPPY'S TOO                         ,"365 EAST MAIN STREET,  WATERLOO",05/19/2015,"Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; ",0,0,1,Food Service Establishment - Ice Cream Store,Seneca  County,SENECA,365 EAST MAIN STREET,WATERLOO,13165    ,492101,WATERLOO,PEPPY'S TOO,04/30/2016,,,JAYNES,ROBERT ,308389,Inspection,"Wash hands frequently
Change gloves frequently",NY,"(42.901755, -76.846896)"
CHABAD HOUSE                        ,"955 GENESEE STREET,  ROCHESTER",05/15/2015,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,2,Food Service Establishment - Restaurant,Monroe County,MONROE,955 GENESEE STREET,ROCHESTER,14611    ,270104,ROCHESTER,CHABAD HOUSE,12/31/2016,,,,,813215,Inspection,,NY,"(43.131332, -77.636075)"
ELKS LODGE #364 - HORNELL (pt)      ,"60 BROADWAY MALL,  HORNELL",05/20/2015,No violations found.,0,0,0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Hornell District Office,STEUBEN,60 BROADWAY MALL  ,HORNELL,14843    ,500200,HORNELL,ELKS LODGE #364 - HORNELL,05/15/2018,,ELKS LODGE #364 - HORNELL,GORE,JEANNE,342302,Inspection,,NY,"(42.325705, -77.660729)"
CLOVERWOOD SENIOR LIVING            ,"1 SINCLAIR DRIVE,  PITTSFORD",05/15/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,2,Food Service Establishment - Restaurant,Monroe County,MONROE,1 SINCLAIR DRIVE,PITTSFORD,14534    ,272600,PITTSFORD,"CLOVERWOOD SENIOR LIVING, INC.",12/31/2016,,,,,666818,Inspection,,NY,"(43.083557, -77.544549)"
EAST MEADOW SD - BARNUM WOODS       ,"500 MAY  LANE,  EAST MEADOW",05/06/2015,"Item 12A-   Hot, cold running water not provided, pressure inadequate; ",0,0,2,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,500 MAY  LANE,EAST MEADOW,11554    ,299900,NASSAU SCHOOLS,EAST MEADOW SD - BARNUM WOODS       ,08/31/2016,,"ARAMARK EDUCATIONAL SERVICES, LLC",,,570589,Inspection,,NY,"(40.709129, -73.572826)"
POMPEI RISTORANTE                   ,"401 HEMPSTEAD  AVENUE,  WEST HEMPSTEAD",05/08/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; ",0,0,2,Food Service Establishment - Restaurant,Nassau  County,NASSAU,401 HEMPSTEAD  AVENUE,WEST HEMPSTEAD,11552    ,295049,HEMPSTEAD,POMPEI RISTORANTE,05/31/2017,POMPEI RISTORANTE,"POMPEI RISTORANTE OF WEST HEMPSTEAD, INC.",RAGO,ADA,577832,Inspection,,NY,"(40.699647, -73.650804)"
