"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"

"10","7-ELEVEN","966 S MILL ST","LEWISVILLE","TX","","33.0336","-96.9923",""

"14","7-ELEVEN","193 W CORPORATE DR SUITE A","LEWISVILLE","TX","","33.0123","-96.9934",""

"148","7-ELEVEN","724 HEBRON PKWY","LEWISVILLE","TX","","33.0098","-96.9679",""

"2186","7-ELEVEN","1302 W MAIN ST","LEWISVILLE","TX","","33.042","-97.0276",""

"239","7-ELEVEN","460 E FM 3040","LEWISVILLE","TX","","33.0044","-96.9786",""

"242","7-ELEVEN","529 SH 121","LEWISVILLE","TX","","32.9933","-96.9754",""

"245","7-ELEVEN","1001 FOX AVE","LEWISVILLE","TX","","33.0351","-97.0105",""

"2313","7-ELEVEN #35385","1501 FM 407","LEWISVILLE","TX","","33.0717","-97.0361",""

"11","99 CENTS ONLY STORE PLUS","383 HUFFINES PLZ SUITE 255A","LEWISVILLE","TX","","33.0338","-96.9961",""

"13","ACADEMY SPORTS & OUTDOORS","2428 S I 35E SUITE A","LEWISVILLE","TX","","33.0064","-96.9678",""

"4500","AFRICAN GROCERY STORE","1598 S VALLEY PKWY SUITE 101","LEWISVILLE","TX","","33.0279","-97.0194",""

"248","ALBERTSONS #4280 - BAKERY","1087 W MAIN ST","LEWISVILLE","TX","","33.0435","-97.019",""

"249","ALBERTSONS #4280 - DELI","1087 W MAIN ST","LEWISVILLE","TX","","33.0435","-97.019",""

"250","ALBERTSONS #4280 - RETAIL","1087 W MAIN ST","LEWISVILLE","TX","","33.0435","-97.019",""

"16","ALDI FOOD MARKET #62","1585 W MAIN ST","LEWISVILLE","TX","","33.0428","-97.0349",""

"7","ALFREDO'S PIZZA AND PASTA","2305 S SH 121 BUS SUITE 225","LEWISVILLE","TX","","33.0133","-96.9942",""

"17","ALL FOR YOUR CAKES","2154 S SH 121 BUS SUITE 400","LEWISVILLE","TX","","33.0118","-96.9916",""

"251","ALLY CAFE","2911 LAKE VISTA DR","LEWISVILLE","TX","","32.991","-96.9657",""

"263","AMERICAN FOOD MART","695 FOX AVE","LEWISVILLE","TX","","33.038","-97.0034",""

"265","AMF LEWISVILLE LANES","1398 W MAIN ST","LEWISVILLE","TX","","33.0414","-97.0304",""

"2196","ANGELINA'S MEXICAN RESTAURANT","1396 W MAIN ST","LEWISVILLE","TX","","33.0413","-97.0307",""

"19","APPLEBEE'S","543 E FM 3040","LEWISVILLE","TX","","33.0052","-96.976",""

"252","ARBOR HOUSE ASSISTED LIVING CENTER","2215 ROCKBROOK DR","LEWISVILLE","TX","","33.0097","-96.9821",""

"1729","ARBYS","220 E FM 3040","LEWISVILLE","TX","","33.0032","-96.9886",""

"3","ASIAN MART","125 BELLAIRE BLVD SUITE 600","LEWISVILLE","TX","","33.028","-96.9942",""

"269","AT HOME","2512 S I 35E","LEWISVILLE","TX","","33.0037","-96.9623",""

"604","AVALON CAFE","1547 S I 35E","LEWISVILLE","TX","","33.021","-96.9873",""

"220","AW SHUCKS OYSTER BAR","1630 S I 35E","LEWISVILLE","TX","","33.0217","-96.9848",""

"605","B & B NEWS AND MORE","2401 S I 35E SUITE 1138","LEWISVILLE","TX","","33.0022","-96.9718",""

"6","BAAN THAI RESTAURANT","297 W FM 3040 SUITE 160","LEWISVILLE","TX","","33.0039","-96.9979",""

"606","BABIES""R""US","420 E FM 3040 SUITE 400","LEWISVILLE","TX","","33.0028","-96.9795",""

"254","BAHAMA BUCKS","2320 S VALLEY PKWY","LEWISVILLE","TX","","33.0074","-97.0199",""

"607","BARNES & NOBLE CAFE","2325 S I 35E SUITE 401","LEWISVILLE","TX","","33.0084","-96.9783",""

"122","BAYMONT INN AND SUITES","885 S I 35E","LEWISVILLE","TX","","33.0368","-97.0018",""

"608","BAYOU MARKET","101 E SOUTHWEST PKWY SUITE 118","LEWISVILLE","TX","","33.0197","-96.9919",""

"609","BED BATH & BEYOND","420 E FM 3040 SUITE 300","LEWISVILLE","TX","","33.0028","-96.9795",""

"123","BEST WESTERN INN AND SUITES","330 E CORPORATE DR","LEWISVILLE","TX","","33.0163","-96.9843",""

"1901","BIG JACK'S BBQ","1168 W MAIN ST SUITE B","LEWISVILLE","TX","","33.0414","-97.022",""

"2187","BIG LOTS #1487","1374 W MAIN ST","LEWISVILLE","TX","","33.0415","-97.0288",""

"323","BJ'S RESTAURANT","2609 S I 35E","LEWISVILLE","TX","","33.0003","-96.9622",""

"440","BLOSSOM VALLEY ACADEMY","1252 COLLEGE PKWY","LEWISVILLE","TX","","33.0472","-97.0262",""

"312","BLUE OCEAN SUSHI AND ASIAN GRILL","533 SH 121 SUITE B9","LEWISVILLE","TX","","32.9933","-96.9754",""

"612","BLUM'S DONUTS","1278 FM 407 SUITE 101","LEWISVILLE","TX","","33.071","-97.027",""

"613","BOBA WORLD","291 E FM 3040 SUITE 190","LEWISVILLE","TX","","33.0051","-96.9859",""

"802","BOSTON MARKET","1570 W MAIN ST","LEWISVILLE","TX","","33.0419","-97.0345",""

"805","BRAUM'S","812 S I 35E","LEWISVILLE","TX","","33.038","-97.0003",""

"3229","BRIGHT HORIZONS AT MEDICAL OF LEWISVILLE","423 N ELM ST","LEWISVILLE","TX","","33.0447","-97.0017",""

"422","BROOKDALE LEWISVILLE","965 N GARDEN RIDGE BLVD","LEWISVILLE","TX","","33.0552","-97.0347",""

"806","BROWNIE'S FOOD MART","101 LAKE PARK RD SUITE A","LEWISVILLE","TX","","33.0719","-97.0095",""

"324","BUFFALO WILD WINGS","2613 S I 35E","LEWISVILLE","TX","","32.9999","-96.9616",""

"807","BUFFET PALACE","724 W MAIN ST SUITE 300","LEWISVILLE","TX","","33.0453","-97.0122",""

"1830","BURGER KING","1104 W MAIN ST","LEWISVILLE","TX","","33.0418","-97.0209",""

"2365","BURGER KING","1313 S SH 121 BUS","LEWISVILLE","TX","","33.0248","-96.9932",""

"2366","BURGER KING","908 VALLEY RIDGE BLVD","LEWISVILLE","TX","","33.0555","-97.0155",""

"281","CAJUN CRAWFISH","1671 RIVERVIEW DR SUITE 114","LEWISVILLE","TX","","33.0454","-96.9458",""

"815","CANDY WORLD","2401 S I 35E SUITE 2102","LEWISVILLE","TX","","33.0022","-96.9718",""

"816","CANTINA LAREDO","2225 S I 35E","LEWISVILLE","TX","","33.0086","-96.9771",""

"125","CANUCKS","1102 TEXAS ST SUITE A","LEWISVILLE","TX","","33.031","-96.9918",""

"1212","CARMINE'S PIZZERIA","1565 W MAIN ST SUITE 210","LEWISVILLE","TX","","33.0439","-97.0328",""

"1213","CHEF AIMEE'S PERSONAL CATERING","101 E SOUTHWEST PKWY SUITE 106","LEWISVILLE","TX","","33.0197","-96.9919",""

"2583","CHEVRON","877 S I 35E","LEWISVILLE","TX","","33.0371","-97.0022",""

"2584","CHEVRON","1301 S SH 121 BUS","LEWISVILLE","TX","","33.0273","-96.9932",""

"2154","CHEVRON FOOD MART","1298 W MAIN ST","LEWISVILLE","TX","","33.0418","-97.0271",""

"1214","CHICK-FIL-A","483 E FM 3040","LEWISVILLE","TX","","33.0054","-96.9777",""

"2317","CHICK-FIL-A","749 W MAIN ST","LEWISVILLE","TX","","33.0468","-97.0106",""

"1217","CHILDREN'S COURTYARD","1504 N GARDEN RIDGE BLVD","LEWISVILLE","TX","","33.064","-97.0361",""

"2332","CHILDREN'S COURTYARD","2155 WILLOW GROVE DR","LEWISVILLE","TX","","33.0063","-97.0087",""

"2334","CHILDREN'S COURTYARD","2160 S EDMONDS LN","LEWISVILLE","TX","","33.0062","-97.0074",""

"2328","CHILDTIME LEARNING CENTER","249 E FM 3040 SUITE A","LEWISVILLE","TX","","33.0042","-96.9871",""

"2331","CHILDTIME LEARNING CENTER","1597 GLENCAIRN LN","LEWISVILLE","TX","","33.0458","-97.0356",""

"1221","CHILI'S","1935 S I 35E","LEWISVILLE","TX","","33.0151","-96.9823",""

"2039","CHIPOTLE GRILL","722 W MAIN ST","LEWISVILLE","TX","","33.0461","-97.0103",""

"322","CHIPOTLE GRILL","2605 S I 35E","LEWISVILLE","TX","","33.0007","-96.9625",""

"626","CHOKHLEI MARKET","1598 S VALLEY PKWY SUITE 106","LEWISVILLE","TX","","33.0279","-97.0194",""

"434","CHUCK E CHEESE","2402 S I 35E","LEWISVILLE","TX","","33.0064","-96.9678",""

"1222","CHURCH'S CHICKEN","1298 S SH 121 BUS","LEWISVILLE","TX","","33.0276","-96.9927",""

"2058","CICI'S PIZZA","724 W MAIN ST SUITE 400","LEWISVILLE","TX","","33.0453","-97.0122",""

"1931","CIGARETTE MART","998 N GARDEN RIDGE BLVD SUITE 100","LEWISVILLE","TX","","33.0566","-97.036",""

"1223","CIMARRON LIVING CENTER","1680 S EDMONDS LN","LEWISVILLE","TX","","33.0251","-97.0123",""

"725","CINEMARK 15","2401 S I 35E SUITE 0004","LEWISVILLE","TX","","33.0022","-96.9718",""

"819","CINEMARK MOVIES 8","420 OAKBEND DR","LEWISVILLE","TX","","33.0097","-96.9798",""

"3886","COFFEEHOLIC","310 E FM 3040 SUITE 300","LEWISVILLE","TX","","33.0042","-96.9846",""

"1227","COLD'S BEVERAGE","359 LAKE PARK RD SUITE A1","LEWISVILLE","TX","","33.0721","-97.0167",""

"126","COMFORT SUITES","755 E VISTA RIDGE MALL DR BLDG A","LEWISVILLE","TX","","33.001","-96.9671",""

"1309","CON SABOR A MEXICO","612 S MILL ST","LEWISVILLE","TX","","33.0417","-96.9934",""

"3412","CONVENIENCE PLUS","1010 S EDMONDS LN SUITE 202","LEWISVILLE","TX","","33.0361","-97.0107",""

"1251","CORPORATE CHEVRON","102 E CORPORATE DR","LEWISVILLE","TX","","33.0119","-96.9927",""

"1253","COSMIC JUMP","1915 S I 35E","LEWISVILLE","TX","","33.0157","-96.9834",""

"2367","COSTCO - BAKERY","851 SH 121","LEWISVILLE","TX","","32.9978","-96.9642",""

"5277","COSTCO - CDS","851 SH 121","LEWISVILLE","TX","","32.9978","-96.9642",""

"2368","COSTCO - DELI","851 SH 121","LEWISVILLE","TX","","32.9978","-96.9642",""

"2369","COSTCO - FOOD COURT","851 SH 121","LEWISVILLE","TX","","32.9978","-96.9642",""

"2370","COSTCO - RETAIL & MEAT MARKET","851 SH 121","LEWISVILLE","TX","","32.9978","-96.9642",""

"154","COTTON PATCH CAFE","420 E FM 3040 SUITE 100","LEWISVILLE","TX","","33.0028","-96.9795",""

"128","COURTYARD BY MARRIOTT LEWISVILLE","2701 LAKE VISTA DR","LEWISVILLE","TX","","32.9971","-96.965",""

"3174","CRACKER BARREL","889 S I 35E","LEWISVILLE","TX","","33.0365","-97.0016",""

"1254","CRAZY 8'S BILLIARDS","2302 S SH 121 BUS SUITE 160","LEWISVILLE","TX","","33.0135","-96.9924",""

