"business_id","date","score","result","description","type"

"2185","20150309","97","","",""

"1713","20150310","97","","",""

"1772","20150310","100","","",""

"2556","20150310","90","","",""

"1931","20150311","96","","",""

"1716","20150311","100","","",""

"815","20150311","100","","",""

"636","20150311","94","","",""

"634","20150311","100","","",""

"2550","20150312","88","","",""

"1251","20150323","100","","",""

"2478","20150323","100","","",""

"469","20150323","89","","",""

"123","20150324","100","","",""

"3412","20150324","96","","",""

"1794","20150324","97","","",""

"2692","20150325","100","","",""

"2690","20150325","97","","",""

"2689","20150325","100","","",""

"2688","20150325","97","","",""

"2472","20150401","100","","",""

"2323","20150326","94","","",""

"231","20150326","89","","",""

"773","20150327","100","","",""

"323","20150401","100","","",""

"2476","20150401","100","","",""

"10","20150401","97","","",""

"1601","20150401","77","","",""

"148","20150402","100","","",""

"1372","20150402","97","","",""

"2400","20150402","96","","",""

"254","20150402","100","","",""

"607","20150403","100","","",""

"1686","20150403","91","","",""

"2331","20150406","97","","",""

"2494","20150406","100","","",""

"2365","20150406","100","","",""

"2562","20150407","95","","",""

"768","20150407","100","","",""

"1065","20150407","100","","",""

"1223","20150407","94","","",""

"802","20150407","97","","",""

"1244","20150407","93","","",""

"2473","20150408","94","","",""

"2385","20150408","94","","",""

"2182","20150408","97","","",""

"1291","20150409","97","","",""

"314","20150410","91","","",""

"2255","20150410","100","","",""

"2541","20150413","97","","",""

"2455","20150414","97","","",""

"1965","20150414","85","","",""

"626","20150414","96","","",""

"1074","20150415","92","","",""

"2462","20150416","95","","",""

"1934","20150417","90","","",""

"1850","20150420","94","","",""

"624","20150420","91","","",""

"142","20150421","81","","",""

"2","20150421","97","","",""

"329","20150422","100","","",""

"339","20150422","100","","",""

"943","20150422","100","","",""

"1713","20150427","94","","",""

"810","20150428","100","","",""

"2392","20150428","93","","",""

"725","20150429","100","","",""

"2589","20150504","97","","",""

"2143","20150504","100","","",""

"2071","20150504","100","","",""

"132","20150505","100","","",""

"2328","20150505","87","","",""

"2069","20150505","100","","",""

"2186","20150505","94","","",""

"656","20150505","100","","",""

"1052","20150505","96","","",""

"605","20150505","100","","",""

"2529","20150506","97","","",""

"2273","20150506","100","","",""

"639","20150506","100","","",""

"2480","20150506","100","","",""

"1214","20150507","100","","",""

"2533","20150507","94","","",""

"2561","20150508","79","","",""

"2287","20150512","95","","",""

"2396","20150512","97","","",""

"2397","20150512","94","","",""

"2394","20150512","100","","",""

"317","20150513","100","","",""

"2960","20150514","100","","",""

"2535","20150514","94","","",""

"953","20150514","91","","",""

"1441","20150514","96","","",""

"1143","20150515","94","","",""

"1253","20150515","97","","",""

"2423","20150518","97","","",""

"713","20150518","100","","",""

"228","20150518","100","","",""

"322","20150518","100","","",""

"2227","20150519","100","","",""

"2056","20150519","97","","",""

"819","20150519","100","","",""

"2466","20150519","97","","",""

"1","20150520","97","","",""

"1584","20150520","97","","",""

"1660","20150521","100","","",""

"1651","20150521","97","","",""

"1309","20150521","92","","",""

"2039","20150522","100","","",""

"2440","20150522","94","","",""

"1633","20150526","100","","",""

"1629","20150526","100","","",""

"141","20150526","94","","",""

"2317","20150526","100","","",""

"203","20150526","97","","",""

"1052","20150526","94","","",""

"639","20150526","94","","",""

"634","20150526","94","","",""

"656","20150526","94","","",""

"722","20150526","97","","",""

"2505","20150526","97","","",""

"233","20150526","100","","",""

"10","20150526","97","","",""

"1506","20150527","96","","",""

"906","20150527","96","","",""

"239","20150527","92","","",""

"2313","20150527","100","","",""

"1854","20150527","100","","",""

"752","20150527","96","","",""

"2452","20150527","100","","",""

"2585","20150527","94","","",""

"2588","20150527","97","","",""

"909","20150528","91","","",""

"1641","20150528","97","","",""

"2595","20150528","78","","",""

"1227","20150529","94","","",""

"1856","20150529","100","","",""

"816","20150529","97","","",""

"1977","20150601","92","","",""

"356","20150601","100","","",""

"2232","20150602","97","","",""

"624","20150602","97","","",""

"14","20150602","100","","",""

"608","20150603","97","","",""

"2366","20150603","100","","",""

"2039","20150604","100","","",""

"2142","20150604","95","","",""

"1921","20150604","95","","",""

"2561","20150605","79","","",""

"1973","20150608","100","","",""

"1623","20150608","100","","",""

"2448","20150608","97","","",""

"793","20150608","100","","",""

"140","20150609","100","","",""

"2144","20150609","97","","",""

"3889","20150609","100","","",""

"2264","20150610","97","","",""

"3229","20150615","100","","",""

"2543","20150615","97","","",""

"324","20150615","100","","",""

"2532","20150616","97","","",""

"1850","20150616","93","","",""

"1094","20150616","89","","",""

"1847","20150616","100","","",""

"1832","20150617","97","","",""

"1094","20150617","92","","",""

"3681","20150617","97","","",""

"1899","20150618","100","","",""

"1094","20150618","97","","",""

"248","20150622","100","","",""

"249","20150622","100","","",""

"250","20150622","97","","",""

"2504","20150622","97","","",""

"326","20150624","88","","",""

"7","20150622","100","","",""

"2332","20150623","100","","",""

"1069","20150623","100","","",""

"2382","20150623","97","","",""

"2687","20150624","96","","",""

