business_id,date,score,result,description,type

1006,20150630,86,,,

1006,20141118,94,,,

1006,20140331,91,,,

1006,20131008,91,,,

1006,20130319,95,,,

10093,20150514,94,,,

10093,20140901,81,,,

10093,20140217,81,,,

10093,20130829,79,,,

10095,20150528,99,,,

10095,20141103,98,,,

10095,20140430,92,,,

10095,20131030,96,,,

10095,20130326,96,,,

10104,20150701,100,,,

10104,20141121,99,,,

10104,20140429,98,,,

10104,20131025,100,,,

10109,20150428,92,,,

10109,20140915,90,,,

10109,20140228,87,,,

10109,20130827,89,,,

10110,20150520,97,,,

10110,20141111,100,,,

10110,20140419,99,,,

10110,20131007,100,,,

10120,20150528,95,,,

10120,20141103,93,,,

10120,20140408,91,,,

10120,20130926,100,,,

10121,20150923,80,,,

10121,20150906,79,,,

10121,20150310,85,,,

10121,20140902,85,,,

10121,20140226,80,,,

10121,20130905,85,,,

10131,20150615,82,,,

10131,20141203,88,,,

10131,20140603,94,,,

10131,20131120,91,,,

10131,20130425,100,,,

10159,20150416,90,,,

10159,20140830,88,,,

10159,20140121,96,,,

10159,20130718,85,,,

10172,20150814,100,,,

10172,20150226,96,,,

10172,20140829,95,,,

10172,20140115,90,,,

10172,20130730,100,,,

10173,20150625,100,,,

10173,20141226,99,,,

10173,20140623,100,,,

10173,20140116,97,,,

10173,20130911,99,,,

10174,20150827,94,,,

10174,20150209,94,,,

10174,20140812,100,,,

10174,20140114,92,,,

10174,20130730,95,,,

10177,20150915,95,,,

10177,20150311,83,,,

10177,20140906,96,,,

10177,20140218,90,,,

10177,20130928,90,,,

10179,20150527,93,,,

10179,20141029,93,,,

10179,20140313,91,,,

10179,20131106,88,,,

10179,20130506,89,,,

10193,20150720,78,,,

10193,20141215,88,,,

10193,20140609,85,,,

10193,20131204,87,,,

10193,20130603,81,,,

10199,20150730,97,,,

10199,20150127,99,,,

10199,20140708,97,,,

10199,20140110,96,,,

10199,20130718,96,,,

10203,20150723,98,,,

10203,20150116,98,,,

10203,20140620,100,,,

10203,20131218,100,,,

10203,20130628,100,,,

10212,20150323,97,,,

10212,20140911,96,,,

10212,20140228,93,,,

10212,20130926,95,,,

10229,20150715,94,,,

10229,20141120,92,,,

10229,20140416,92,,,

10229,20131011,91,,,

1023,20150429,97,,,

1023,20140901,96,,,

1023,20140219,98,,,

1023,20130805,87,,,

10236,20150527,98,,,

10236,20141113,95,,,

10236,20140327,94,,,

10236,20130928,96,,,

10241,20150713,93,,,

10241,20141113,85,,,

10241,20140327,84,,,

10241,20130930,88,,,

10243,20150317,99,,,

10243,20140924,96,,,

10243,20140227,99,,,

10243,20130927,100,,,

10248,20150629,92,,,

10248,20141231,96,,,

10248,20140627,100,,,

10248,20131219,97,,,

10248,20130626,98,,,

10249,20150317,95,,,

10249,20140924,90,,,

10249,20140227,97,,,

10249,20130927,98,,,

10260,20150521,83,,,

10260,20141016,76,,,

10260,20140407,77,,,

10260,20130926,86,,,

10266,20150709,82,,,

10266,20141120,88,,,

10266,20140328,84,,,

10266,20131004,83,,,

10270,20150429,90,,,

10270,20141125,91,,,

10270,20140430,90,,,

10270,20131127,98,,,

10270,20130731,90,,,

10274,20150906,97,,,

10274,20150325,96,,,

10274,20140815,94,,,

10274,20140124,95,,,

10274,20130723,96,,,

10282,20150728,100,,,

10282,20150126,97,,,

10282,20140715,93,,,

10282,20140121,95,,,

10282,20130724,92,,,

10301,20150730,100,,,

10301,20150127,91,,,

10301,20140625,99,,,

10301,20131220,99,,,

10301,20130626,97,,,

10309,20150429,97,,,

10309,20140912,90,,,

10309,20140227,91,,,

10309,20130826,92,,,

10313,20150625,98,,,

10313,20141110,96,,,

10313,20140528,99,,,

10313,20131107,100,,,

10313,20130725,98,,,

10315,20150718,87,,,

10315,20141210,92,,,

10315,20140430,88,,,

10315,20131023,92,,,

10315,20130320,85,,,

10322,20150717,90,,,

10322,20141124,89,,,

10322,20140429,95,,,

10322,20131001,95,,,

10326,20150923,83,,,

10326,20150906,78,,,

10326,20150325,79,,,

10326,20140830,79,,,

10326,20140227,79,,,

10326,20130827,92,,,

10328,20150430,100,,,

10328,20140829,100,,,

10328,20140113,97,,,

10328,20130712,100,,,

10334,20150911,91,,,

10334,20150324,97,,,

10334,20140812,95,,,

10334,20140115,90,,,

10334,20130701,91,,,

10344,20150414,83,,,

10344,20140930,81,,,

10344,20140326,76,,,

10344,20131005,88,,,

10344,20130327,86,,,

10371,20131010,97,,,

10358,20150911,85,,,

10358,20150324,94,,,

10358,20140902,72,,,

10358,20140226,96,,,

10358,20130821,92,,,

10360,20150810,87,,,

10360,20150210,80,,,

10360,20140812,93,,,

10360,20140131,90,,,

10360,20130731,88,,,

10362,20150311,91,,,

10362,20140903,89,,,

10362,20140213,92,,,

10362,20130928,93,,,

10367,20150529,100,,,

10367,20141110,100,,,

10367,20140327,100,,,

10367,20130905,100,,,

10371,20150519,97,,,

10371,20141029,96,,,

10371,20140326,97,,,

10371,20130401,99,,,

10379,20150610,93,,,

10379,20141208,100,,,

10379,20140604,99,,,

10379,20131205,100,,,

10379,20130605,100,,,

10380,20150428,83,,,

10380,20140902,91,,,

10380,20140127,84,,,

10380,20130729,80,,,

10383,20150717,96,,,

10383,20141222,94,,,

10383,20140618,95,,,

10383,20131213,98,,,

10383,20130625,96,,,

10384,20150714,96,,,

10384,20150113,94,,,

10384,20140626,96,,,

10384,20131112,93,,,

10384,20130326,97,,,

10389,20150807,89,,,

10389,20150122,89,,,

10389,20140731,80,,,

10389,20140116,92,,,

10389,20130829,89,,,

10409,20150717,72,,,

10409,20141124,79,,,

10409,20140429,76,,,

10409,20131001,85,,,

10417,20150715,98,,,

10417,20141229,95,,,

10417,20140626,98,,,

10417,20131227,92,,,

10417,20130828,95,,,

10421,20150720,88,,,

10421,20141211,97,,,

10421,20140604,93,,,

10421,20131107,90,,,

10421,20130828,97,,,

10423,20150612,67,,,

10423,20141211,91,,,

10423,20140604,87,,,

10423,20131108,89,,,

10423,20130717,86,,,

10425,20150727,87,,,

10425,20141216,84,,,

10425,20140609,91,,,

10425,20131211,93,,,

10425,20130624,87,,,

10426,20150715,85,,,

10426,20141222,89,,,

10426,20140529,88,,,

10426,20131124,94,,,

10426,20130607,98,,,

10429,20150907,97,,,

10429,20150324,92,,,

10429,20140904,97,,,

10429,20140131,92,,,

10429,20130729,85,,,

10431,20150722,97,,,

10431,20141125,97,,,

